coalition,value
EMPTY_SET,0.0
0,0.0
1,0.0027638448152318418
2,-0.080458593510083
3,0.018220902855972887
4,0.018220902855972887
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.05107994677039607
11,0.02129184153956387
12,-0.00020472924557279892
13,-0.0003070938683591429
0|1,-0.0008189169822909736
0|2,-0.06551335858327367
0|3,0.025079332582659375
0|4,0.02497696795987303
0|5,0.015968881154672876
0|6,0.014023953321732008
0|7,0.011464837752072854
0|8,-0.0012283754734364605
0|9,-0.0027638448152318418
0|10,0.04923738356024154
0|11,0.01924454908383655
0|12,0.0005118231139318308
0|13,-0.0036851264203091594
1|2,-0.0829153444569557
1|3,0.02047292455727301
1|4,0.02047292455727301
1|5,0.011771931620431997
1|6,0.005220595762104541
1|7,0.01310267171665469
1|8,0.0018425632101545242
1|9,0.004811137270959165
1|10,0.049544477428600686
1|11,0.022417852390213877
1|12,0.0002047292455726879
1|13,0.0017401985873681802
2|3,-0.05138704063875532
2|4,-0.051284676015968866
2|5,-0.027843177397891328
2|6,-0.05998566895280999
2|7,-0.02170130003070947
2|8,-0.0802538642645102
2|9,-0.07165523595045553
2|10,-0.024976967959873142
2|11,-0.05599344866414169
2|12,-0.07073395434537832
2|13,-0.07994677039615117
3|4,0.018220902855972887
3|5,0.05701709489200524
3|6,0.025079332582659375
3|7,0.05885965810215987
3|8,0.01729962125089568
3|9,0.02344149861807754
3|10,0.057631282628723524
3|11,0.03337086702835501
3|12,0.02671716654724121
3|13,0.015661787286313844
4|5,0.05701709489200524
4|6,0.025079332582659375
4|7,0.05885965810215987
4|8,0.01729962125089568
4|9,0.02344149861807754
4|10,0.057631282628723524
4|11,0.033268502405568556
4|12,0.02671716654724121
4|13,0.015866516531886532
5|6,0.05435561469955974
5|7,0.0
5|8,0.0
5|9,-0.00020472924557279892
5|10,0.05056812365646424
5|11,0.021189476916777528
5|12,0.02395332173200937
5|13,0.0
6|7,0.056914730269218894
6|8,-0.0030709386835909847
6|9,0.023134404749718507
6|10,0.04995393591974606
6|11,0.020575289180059353
6|12,0.013409765585013833
6|13,-0.002047292455727323
7|8,-0.0030709386835909847
7|9,0.0
7|10,0.05118231139318252
7|11,0.021189476916777528
7|12,0.024260415600368512
7|13,-0.0013307400962228044
8|9,0.0
8|10,0.05046575903367789
8|11,0.021087112293991184
8|12,-0.002047292455727323
8|13,-0.0007165523595046297
9|10,0.050977582147609724
9|11,0.02129184153956387
9|12,-0.00020472924557279892
9|13,-0.0005118231139318308
10|11,0.07237178830996005
10|12,0.04995393591974606
10|13,0.05087521752482338
11|12,0.020370559934486554
11|13,0.020677653802845697
12|13,-0.0013307400962228044
0|1|2,-0.056402907155287174
0|1|3,0.01627597502303202
0|1|4,0.016890162759750194
0|1|5,0.01709489200532288
0|1|6,0.01013409765585005
0|1|7,0.013409765585013833
0|1|8,-0.0013307400962228044
0|1|9,0.0019449278329408681
0|1|10,0.047804278841232395
0|1|11,0.017197256628109336
0|1|12,-0.0005118231139318308
0|1|13,-0.004913501893745509
0|2|3,-0.014945234926809325
0|2|4,-0.013921588698945664
0|2|5,-0.018937455215477517
0|2|6,-0.01678779813696385
