coalition,value
EMPTY_SET,0.0
0,-0.005895357406042745
1,0.0
2,0.0
3,0.0
4,0.0
5,-0.05526897568165079
6,0.0
7,0.0
8,0.0
9,0.0
10,-0.005895357406042745
11,-0.018422991893883633
12,0.0
13,-0.0007369196757553986
14,0.0007369196757552876
15,0.008106116433308719
0|1,-0.010316875460574804
0|2,-0.0029476787030213725
0|3,-0.002210759027266085
0|4,-0.00810611643330883
0|5,-0.0434782608695653
0|6,-0.003684598378776771
0|7,-0.006632277081798144
0|8,-0.003684598378776771
0|9,-0.02726602800294775
0|10,-0.012527634487840889
0|11,-0.03389830508474578
0|12,-0.005895357406042745
0|13,-0.011053795136330202
0|14,-0.01621223286661755
0|15,-0.007369196757553431
1|2,0.0
1|3,0.0
1|4,0.0
1|5,-0.0648489314664702
1|6,0.0
1|7,0.0
1|8,0.0
1|9,-0.0014738393515106862
1|10,-0.012527634487840889
1|11,-0.05600589535740608
1|12,-0.0014738393515106862
1|13,-0.005158437730287457
1|14,-0.006632277081798144
1|15,0.00368459837877666
2|3,0.0
2|4,0.0
2|5,-0.06558585114222559
2|6,0.0
2|7,0.0
2|8,0.0
2|9,-0.002210759027266085
2|10,-0.005158437730287457
2|11,-0.03463522476050118
2|12,-0.0014738393515106862
2|13,-0.005158437730287457
2|14,-0.0007369196757553986
2|15,0.008106116433308719
3|4,0.0
3|5,-0.0641120117907149
3|6,0.0
3|7,0.0
3|8,0.0
3|9,0.002210759027265974
3|10,-0.002210759027266085
3|11,-0.04568901989683127
3|12,-0.0014738393515106862
3|13,-0.005158437730287457
3|14,0.0007369196757552876
3|15,0.008843036109064117
4|5,-0.0537951363301401
4|6,0.0
4|7,0.0
4|8,0.0
4|9,-0.0029476787030213725
4|10,-0.005895357406042745
4|11,-0.01915991156963892
4|12,0.0
4|13,-0.0007369196757553986
4|14,0.0007369196757552876
4|15,0.008106116433308719
5|6,-0.0641120117907149
5|7,-0.06558585114222559
5|8,-0.07148120854826823
5|9,-0.03979366249078853
5|10,-0.06558585114222559
5|11,-0.018422991893883633
5|12,-0.06927044952100225
5|13,-0.05526897568165079
