coalition,value
EMPTY_SET,-0.0
0,33408.27830548321
1,33408.27830548321
2,14343.667928051069
3,17392.521154453905
4,15258.693073527204
5,261.5972292921142
6,-249.23011740061338
7,-14.73627429138287
8,4493.4360208093785
9,11100.197607476737
10,7460.276925372731
11,-13386.562667923587
12,-13340.999639485235
13,18249.003503798263
14,37504.60114803088
0|1,33408.27830548321
0|2,33344.679339574126
0|3,33408.06766911958
0|4,33309.955305483214
0|5,33412.604316846846
0|6,34490.02198730139
0|7,33933.0691123014
0|8,35640.16833957412
0|9,34854.382885028666
0|10,33457.71371457412
0|11,37485.36462366503
0|12,34229.09695321049
0|13,37567.634748665034
0|14,39844.78360093776
1|2,33344.679339574126
1|3,33408.06766911958
1|4,33309.955305483214
1|5,33412.604316846846
1|6,34490.02198730139
1|7,33933.0691123014
1|8,35640.16833957412
1|9,34854.382885028666
1|10,33457.71371457412
1|11,37485.36462366503
1|12,34229.09695321049
1|13,37567.634748665034
1|14,39844.78360093776
2|3,30668.83762748145
2|4,15851.381319136919
2|5,13804.64214038994
2|6,11572.897513023294
2|7,14538.84651150242
2|8,18585.526917054074
2|9,14111.648230690385
2|10,12861.721525322224
2|11,11664.092027660725
2|12,1753.651492771729
2|13,21950.140592661246
2|14,38674.39963545384
3|4,32798.92030151433
3|5,17438.73402368242
3|6,16282.22599812892
3|7,17206.73405915769
3|8,20706.243832845674
3|9,28441.538516516153
3|10,28169.942333728162
3|11,7791.624420138047
3|12,7952.155854842815
3|13,29684.974120723724
3|14,37151.59189509528
4|5,14895.837661237136
4|6,9858.682216772148
4|7,15516.637178618632
4|8,19887.799339952482
4|9,13941.837247720963
4|10,10631.167821695337
4|11,16211.52311778145
4|12,7571.2785845867475
4|13,24121.72195436579
4|14,39311.39780078057
5|6,-556.7884611558475
5|7,165.76632196370338
5|8,4731.824652244672
5|9,11413.21421583352
5|10,7045.33324128182
5|11,-11544.833785294162
5|12,-13383.986506931564
5|13,19264.82107688539
5|14,37445.8009281603
6|7,-543.3812291573558
6|8,5083.939404421901
6|9,10608.362258269495
6|10,12401.864816846854
6|11,-7671.559409898735
6|12,-10165.244888269946
6|13,31837.47042946227
6|14,40910.57250466251
7|8,4786.9569446189125
7|9,10250.756536483015
7|10,9638.111222869578
7|11,-10086.796656155042
7|12,-12186.088459384795
7|13,31165.008650118692
7|14,41027.325070278355
8|9,14727.43437661782
8|10,13703.142286057704
8|11,-10197.311511819848
8|12,-7146.930349889262
8|13,19892.89145874781
8|14,37910.94404203979
9|10,13344.356248665026
9|11,17555.734021392305
9|12,12805.782563778666
9|13,24757.563430483213
9|14,39950.52583957412
10|11,17700.305203210486
10|12,11476.052032755935
10|13,25858.771703210485
10|14,40365.80737366503
11|12,-1004.8742172440543
11|13,22414.526703210482
11|14,38102.558453210484
12|13,23274.38162366503
12|14,37836.84535093776
13|14,42814.73497593776
0|1|2,33385.11971457412
0|1|3,33408.27830548321
0|1|4,33284.96860093776
0|1|5,33413.89486230139
0|1|6,34246.2961463923
0|1|7,33714.94056684685
0|1|8,35675.75455548321
0|1|9,34763.24069184685
0|1|10,33424.57616911957
0|1|11,37611.21947593776
0|1|12,33735.24322593775
0|1|13,37619.19988502867
0|1|14,39806.75694184685
0|2|3,33336.89769184685
0|2|4,33307.36268048321
0|2|5,33305.324123665036
0|2|6,34387.65008957412
0|2|7,33924.38406684685
0|2|8,35831.79199866503
0|2|9,34692.56433957412
0|2|10,33467.218055483216
0|2|11,37539.888350937756
0|2|12,34176.7096463923
0|2|13,37628.71255548322
0|2|14,39731.42891911958
0|3|4,33348.03869184685
0|3|5,33399.13611230139
0|3|6,34380.36831684685
0|3|7,33774.46949866503
0|3|8,35610.7528963923
0|3|9,34703.060555483215
0|3|10,33517.811930483214
0|3|11,37515.985600937754
0|3|12,34032.82720321049
0|3|13,37627.69507821048
0|3|14,39825.439748665034
0|4|5,33157.35220321049
0|4|6,34124.69730548321
0|4|7,33937.18144184685
0|4|8,35558.27216911958
0|4|9,34633.23912366503
0|4|10,33468.24701002867
0|4|11,37460.45990775594
0|4|12,34089.69440775594
0|4|13,37451.005975937755
0|4|14,39841.44265775594
0|5|6,34533.14947593776
0|5|7,33985.951669119575
0|5|8,35611.929203210486
0|5|9,34627.62499866503
0|5|10,33514.49079411958
0|5|11,37713.301419119576
0|5|12,34357.628453210484
0|5|13,37685.39649866503
0|5|14,39757.97814639231
0|6|7,34737.700953210486
0|6|8,36901.972112301395
0|6|9,35020.52433957412
0|6|10,33799.2789873014
0|6|11,37510.007350937754
0|6|12,34415.125248665034
0|6|13,39871.32744184685
0|6|14,41853.38688502867
0|7|8,36681.35515775594
0|7|9,35088.15716911958
0|7|10,33870.02221457412
0|7|11,37832.54756684685
0|7|12,35011.97088502867
0|7|13,40216.62449866503
0|7|14,42165.28074866503
0|8|9,36774.07007821048
0|8|10,35353.32822593776
0|8|11,37793.55156684685
0|8|12,36794.10953275594
0|8|13,37844.4176123014
0|8|14,40161.932248665034
0|9|10,34151.55638502867
0|9|11,37918.29603275594
0|9|12,35178.2776123014
0|9|13,38454.30787366503
0|9|14,40257.05247593776
0|10|11,36799.62574866503
0|10|12,34206.2762713923
0|10|13,38187.68506684685
0|10|14,40600.52605548321
0|11|12,37515.238260028666
0|11|13,38790.69781684685
0|11|14,40407.51526002867
0|12|13,37992.42554411958
0|12|14,40343.28291911958
0|13|14,42779.999691846846
1|2|3,33336.89769184685
1|2|4,33307.36268048321
1|2|5,33305.324123665036
1|2|6,34387.65008957412
1|2|7,33924.38406684685
1|2|8,35831.79199866503
1|2|9,34692.56433957412
1|2|10,33467.218055483216
1|2|11,37539.888350937756
1|2|12,34176.7096463923
1|2|13,37628.71255548322
1|2|14,39731.42891911958
1|3|4,33348.03869184685
1|3|5,33399.13611230139
1|3|6,34380.36831684685
1|3|7,33774.46949866503
1|3|8,35610.7528963923
1|3|9,34703.060555483215
1|3|10,33517.811930483214
1|3|11,37515.985600937754
1|3|12,34032.82720321049
1|3|13,37627.69507821048
1|3|14,39825.439748665034
1|4|5,33157.35220321049
1|4|6,34124.69730548321
1|4|7,33937.18144184685
1|4|8,35558.27216911958
1|4|9,34633.23912366503
1|4|10,33468.24701002867
1|4|11,37460.45990775594
1|4|12,34089.69440775594
1|4|13,37451.005975937755
1|4|14,39841.44265775594
1|5|6,34533.14947593776
1|5|7,33985.951669119575
1|5|8,35611.929203210486
1|5|9,34627.62499866503
1|5|10,33514.49079411958
1|5|11,37713.301419119576
1|5|12,34357.628453210484
1|5|13,37685.39649866503
1|5|14,39757.97814639231
1|6|7,34737.700953210486
1|6|8,36901.972112301395
1|6|9,35020.52433957412
1|6|10,33799.2789873014
1|6|11,37510.007350937754
1|6|12,34415.125248665034
1|6|13,39871.32744184685
1|6|14,41853.38688502867
1|7|8,36681.35515775594
1|7|9,35088.15716911958
1|7|10,33870.02221457412
1|7|11,37832.54756684685
1|7|12,35011.97088502867
1|7|13,40216.62449866503
1|7|14,42165.28074866503
1|8|9,36774.07007821048
1|8|10,35353.32822593776
1|8|11,37793.55156684685
1|8|12,36794.10953275594
1|8|13,37844.4176123014
1|8|14,40161.932248665034
1|9|10,34151.55638502867
1|9|11,37918.29603275594
1|9|12,35178.2776123014
1|9|13,38454.30787366503
1|9|14,40257.05247593776
1|10|11,36799.62574866503
1|10|12,34206.2762713923
1|10|13,38187.68506684685
1|10|14,40600.52605548321
1|11|12,37515.238260028666
1|11|13,38790.69781684685
1|11|14,40407.51526002867
1|12|13,37992.42554411958
1|12|14,40343.28291911958
1|13|14,42779.999691846846
2|3|4,33842.1278672218
2|3|5,30116.300220472578
2|3|6,28019.894771567968
2|3|7,30742.2612126953
2|3|8,33434.22603968312
2|3|9,32852.118244285586
2|3|10,32192.770477427657
2|3|11,28576.216198283088
2|3|12,25699.07040792008
2|3|13,34395.81819176793
2|3|14,38852.26691599902
2|4|5,15432.021202924472
2|4|6,8831.0774601253
2|4|7,15612.69178281738
2|4|8,20746.912298068397
2|4|9,14300.729454443997
2|4|10,12860.55601077362
2|4|11,20128.203032002228
2|4|12,9478.502303459856
2|4|13,25385.40698510758
2|4|14,39266.721770026605
2|5|6,11767.792519883646
2|5|7,14005.919284525953
2|5|8,18073.94794273037
2|5|9,14123.892225798161
2|5|10,12968.848925473743
2|5|11,11835.11484394861
2|5|12,1843.0078786934391
2|5|13,22464.283132872733
2|5|14,38773.891816774376
2|6|7,11849.482924881548
2|6|8,16223.505870428457
2|6|9,15138.511867585483
2|6|10,16472.692917402408
2|6|11,13664.984160925127
2|6|12,4960.383395912504
2|6|13,32575.557590978795
2|6|14,41575.52646457412
2|7|8,18968.67121054803
2|7|9,13702.384773221242
2|7|10,13084.225168260993
2|7|11,12683.706485407456
2|7|12,4605.799319094331
2|7|13,33053.44669622501
2|7|14,41807.99702997945
2|8|9,18462.80502974142
2|8|10,18321.51667507286
2|8|11,11073.081255088644
2|8|12,9736.119681524884
2|8|13,23366.709786307078
2|8|14,38918.424036914235
2|9|10,18480.86006684685
2|9|11,22178.540862301394
2|9|12,16273.68163196048
2|9|13,28100.71138502867
2|9|14,40164.03538502867
2|10|11,21441.05728275594
2|10|12,14721.74326002867
2|10|13,28761.954385028665
2|10|14,40338.922714574124
2|11|12,12154.121475937762
2|11|13,26566.390396392308
2|11|14,39097.35073730139
2|12|13,26538.618964574118
2|12|14,39042.463862301396
2|13|14,42807.93049866503
3|4|5,32826.840321645075
3|4|6,30013.15040584036
3|4|7,32881.591339090475
3|4|8,35097.081928830725
3|4|9,32914.162844354825
3|4|10,31924.435899056443
3|4|11,33124.06224866503
3|4|12,30864.387965205435
3|4|13,35093.29274350405
3|4|14,39155.93440809659
3|5|6,15820.902201433964
3|5|7,17188.034225078387
3|5|8,20763.618098716543
3|5|9,28378.802443533197
3|5|10,27960.48262160695
3|5|11,8861.706689077444
3|5|12,9106.738459814405
3|5|13,30411.62987344604
3|5|14,37229.411100272046
3|6|7,15866.126874443285
3|6|8,18693.15315887238
3|6|9,31098.32457954571
3|6|10,29915.171873665033
3|6|11,10300.489413800762
3|6|12,11884.738566846852
3|6|13,36459.91243903119
3|6|14,41041.4214778317
3|7|8,20400.417947603746
3|7|9,30036.31999662402
3|7|10,29635.251540584224
3|7|11,9515.572212478997
3|7|12,10726.621738623995
3|7|13,36764.73619904458
3|7|14,41495.852689451334
3|8|9,32031.89866834435
3|8|10,31301.384765795716
3|8|11,10962.02442881339
3|8|12,12090.922134151533
3|8|13,29916.18391774982
3|8|14,37508.28459429673
3|9|10,30322.792510028667
3|9|11,34075.36737366503
3|9|12,32019.945097187756
3|9|13,35601.563135028664
3|9|14,40277.90085093776
3|10|11,33326.51814639231
3|10|12,30533.994544119574
3|10|13,35806.10724866503
3|10|14,40580.77762366503
3|11|12,17859.00294184685
3|11|13,33115.491010028665
3|11|14,38094.41861230139
3|12|13,32232.703600937755
3|12|14,37785.499169119576
3|13|14,42814.25140775594
4|5|6,9901.570338074656
4|5|7,15068.909276766644
4|5|8,19319.71489096905
4|5|9,15160.563534460296
4|5|10,11413.923221316545
4|5|11,17251.799507391836
4|5|12,7320.982353904932
4|5|13,25247.606434422603
