coalition,value
EMPTY_SET,-0.0
0,40.77553468263886
1,-31.962475870376238
2,730.6710893568243
3,-169.25716117284583
4,-1233.1565889738667
5,-1498.1603564573616
6,189.17476232753734
7,345.58279078123223
8,482.9703926827847
9,297.54397833570147
0|1,-842.7773146309382
0|2,660.1606954207014
0|3,-457.32404746777047
0|4,-374.74014345774503
0|5,-548.5811917399087
0|6,-515.7256361953082
0|7,197.6706362608702
0|8,910.1883817772168
0|9,-224.4698638629252
1|2,620.7185077997924
1|3,-359.0376937044166
1|4,-1541.1082349676817
1|5,-1382.336953254704
1|6,-360.06296825328036
1|7,423.7918530050338
1|8,561.9530377085171
1|9,20.944025915466682
2|3,862.0319706922137
2|4,354.608279547685
2|5,513.4692006003165
2|6,864.9082753705761
2|7,1108.1082241167765
2|8,1355.3860829050366
2|9,761.619158177828
3|4,-111.06973974469975
3|5,15.11381317080577
3|6,-91.91212953230615
3|7,200.29791641176507
3|8,691.8972679875346
3|9,-303.94274379156786
4|5,-1320.3341329209861
4|6,-65.12448067579044
4|7,-517.3310858481836
4|8,616.3452704833576
4|9,185.843900475003
5|6,265.137471277008
5|7,-457.4583482875282
5|8,894.7831272856529
5|9,18.70489491422586
6|7,316.6330104505123
6|8,827.045981698896
6|9,308.94040661927056
7|8,848.4791051765956
7|9,343.6512151315478
8|9,487.2107470602168
0|1|2,729.6954177055795
0|1|3,-333.4324199771686
0|1|4,-284.56892335540624
0|1|5,-575.7738445124651
0|1|6,-329.8396862279601
0|1|7,209.29727216526544
0|1|8,789.5314862937171
0|1|9,-137.52545761292458
0|2|3,774.376982555204
0|2|4,605.2389186454297
0|2|5,809.5948396980616
0|2|6,794.3050464649777
0|2|7,904.8231922188188
0|2|8,1116.5656479687377
0|2|9,873.7310802995644
0|3|4,-245.2650099259995
0|3|5,-66.38346857261604
0|3|6,-6.90878812148776
0|3|7,292.06992979831193
0|3|8,1009.6178073672336
0|3|9,68.15136225445212
0|4|5,-747.0825851139689
0|4|6,-23.894182858329714
0|4|7,151.35577470745966
0|4|8,1176.4253660138506
0|4|9,787.8389374424219
0|5|6,14.539087818361622
0|5|7,174.15497127700792
0|5|8,1157.089689322121
0|5|9,241.57863669054223
0|6|7,160.40568883365495
0|6|8,955.806324660467
0|6|9,305.30131056272285
0|7|8,764.0752156379108
0|7|9,662.5042833113457
0|8|9,1048.3778848108432
1|2|3,795.4912077379522
1|2|4,489.0127720288883
1|2|5,554.997621652948
1|2|6,863.7420290255463
1|2|7,957.4805726749428
1|2|8,1434.9288634658137
1|2|9,798.2362583602567
1|3|4,26.19896655165303
1|3|5,-64.26123303335271
1|3|6,463.7121577014027
1|3|7,179.41569799602394
1|3|8,939.099083876215
1|3|9,-76.50870910570893
1|4|5,-1064.1791124322644
1|4|6,-327.53368395482175
1|4|7,-532.7668826657782
1|4|8,829.2948113354882
1|4|9,266.007654547685
1|5|6,-88.1054485224904
1|5|7,-181.47991181091948
1|5|8,854.3380257669751
1|5|9,165.06286131460183
1|6|7,-163.62710457565345
1|6|8,817.2802447471418
1|6|9,391.99575002596384
1|7|8,820.8820893125308
1|7|9,204.54498076967047
1|8|9,770.3963849309343
2|3|4,709.1936178935498
2|3|5,810.0124148860309
2|3|6,1028.939952480016
2|3|7,1107.690779547685
2|3|8,1327.6486930815195
2|3|9,846.3713810514441
2|4|5,513.7211930815197
2|4|6,1123.88354270558
2|4|7,818.1613810514446
2|4|8,1230.2188031901242
2|4|9,758.3651216529488
2|5|6,1032.651700600316
2|5|7,1038.7795577431739
2|5|8,1350.1523584950532
2|5|9,810.8203096228731
2|6|7,997.1926963187793
2|6|8,1329.44286601385
2|6|9,1166.847847216858
2|7|8,1311.234386732313
2|7|9,1155.9056855627223
2|8|9,1459.005643791628
3|4|5,135.84233969806064
3|4|6,607.1161554875348
3|4|7,205.02758982912837
3|4|8,909.1143321792642
3|4|9,279.28707654016625
3|5|6,501.67344872061767
3|5|7,112.04935097625639
3|5|8,911.8513810514442
3|5|9,347.0154787958054
3|6|7,478.77961315775246
3|6|8,1017.8018509762564
3|6|9,458.0469449612192
3|7|8,761.437137630392
3|7|9,304.21543125507833
3|8|9,960.5247081191137
4|5|6,350.188185562723
4|5|7,381.78363669054215
4|5|8,756.0359111266325
4|5|9,208.05564796873796
4|6|7,5.063820676548858
4|6|8,942.7028096228728
4|6|9,652.0063434574595
4|7|8,765.1026882151873
4|7|9,500.2460427055794
