coalition,value
EMPTY_SET,0.0
0,-0.011194029850746245
1,0.10820895522388063
2,-0.018656716417910446
3,0.2052238805970149
4,-0.02985074626865669
5,0.059701492537313494
6,0.003731343283582156
7,0.0671641791044777
8,0.09328358208955223
9,0.08208955223880599
10,0.018656716417910446
0|1,0.007462686567164201
0|2,-0.011194029850746245
0|3,0.13432835820895528
0|4,-0.07462686567164178
0|5,-0.018656716417910446
0|6,-0.018656716417910446
0|7,0.059701492537313494
0|8,0.07089552238805974
0|9,0.018656716417910446
0|10,0.018656716417910446
1|2,0.022388059701492602
1|3,0.18656716417910446
1|4,0.07089552238805974
1|5,0.10447761194029859
1|6,0.13432835820895528
1|7,0.08208955223880599
1|8,0.08955223880597019
1|9,0.08208955223880599
1|10,0.09328358208955223
2|3,0.13805970149253732
2|4,0.03731343283582089
2|5,-0.05223880597014918
2|6,0.003731343283582156
2|7,0.06343283582089554
2|8,0.08582089552238814
2|9,0.04477611940298509
2|10,-0.02238805970149249
3|4,0.19029850746268662
3|5,0.2126865671641791
3|6,0.2052238805970149
3|7,0.17164179104477617
3|8,0.20149253731343286
3|9,0.20149253731343286
3|10,0.2052238805970149
4|5,-0.018656716417910446
4|6,0.007462686567164201
4|7,0.08208955223880599
4|8,0.06343283582089554
4|9,0.08582089552238814
4|10,-0.011194029850746245
5|6,0.04850746268656725
5|7,0.08208955223880599
5|8,0.07089552238805974
5|9,0.08955223880597019
5|10,0.04104477611940305
6|7,0.07462686567164178
6|8,0.08582089552238814
6|9,0.07835820895522394
6|10,0.022388059701492602
7|8,0.11194029850746268
7|9,0.08955223880597019
7|10,0.07462686567164178
8|9,0.08955223880597019
8|10,0.09328358208955223
9|10,0.0671641791044777
0|1|2,0.052238805970149294
0|1|3,0.12313432835820903
0|1|4,0.026119402985074647
0|1|5,0.026119402985074647
0|1|6,0.04850746268656725
0|1|7,0.07089552238805974
0|1|8,0.08582089552238814
0|1|9,-0.01492537313432829
0|1|10,0.03358208955223885
0|2|3,0.14552238805970152
0|2|4,0.0
0|2|5,-0.018656716417910446
0|2|6,0.014925373134328401
0|2|7,0.07462686567164178
0|2|8,0.06343283582089554
0|2|9,0.026119402985074647
0|2|10,0.02985074626865669
0|3|4,0.16044776119402993
0|3|5,0.11567164179104483
0|3|6,0.11940298507462688
0|3|7,0.17910447761194037
0|3|8,0.20149253731343286
0|3|9,0.12686567164179108
0|3|10,0.14552238805970152
0|4|5,-0.01492537313432829
0|4|6,-0.04104477611940294
0|4|7,0.08582089552238814
0|4|8,0.08208955223880599
0|4|9,0.026119402985074647
0|4|10,-0.003731343283582045
0|5|6,0.003731343283582156
0|5|7,0.04477611940298509
0|5|8,0.05597014925373134
0|5|9,-0.018656716417910446
0|5|10,0.03731343283582089
0|6|7,0.06343283582089554
0|6|8,0.0671641791044777
0|6|9,0.0
0|6|10,0.0
0|7|8,0.08582089552238814
0|7|9,0.04104477611940305
0|7|10,0.06343283582089554
0|8|9,0.0671641791044777
0|8|10,0.08955223880597019
0|9|10,0.022388059701492602
1|2|3,0.14925373134328357
1|2|4,0.11567164179104483
1|2|5,-0.007462686567164201
1|2|6,0.06343283582089554
1|2|7,0.0671641791044777
1|2|8,0.07835820895522394
1|2|9,0.06343283582089554
1|2|10,0.03731343283582089
1|3|4,0.20149253731343286
