coalition,value
EMPTY_SET,0.0
0,0.20370370370370366
1,0.22222222222222227
2,0.037037037037037035
3,0.16666666666666669
4,0.1296296296296296
5,0.22222222222222227
6,0.3703703703703704
7,0.09259259259259256
8,0.09259259259259256
9,0.27777777777777773
10,0.1481481481481482
11,0.22222222222222227
12,0.29629629629629634
0|1,0.4259259259259259
0|2,0.27777777777777773
0|3,0.3333333333333333
0|4,0.3148148148148148
0|5,0.46296296296296297
0|6,0.5185185185185186
0|7,0.4259259259259259
0|8,0.3148148148148148
0|9,0.46296296296296297
0|10,0.46296296296296297
0|11,0.49999999999999994
0|12,0.49999999999999994
1|2,0.27777777777777773
1|3,0.3333333333333333
1|4,0.27777777777777773
1|5,0.3703703703703704
1|6,0.4444444444444445
1|7,0.29629629629629634
1|8,0.27777777777777773
1|9,0.48148148148148145
1|10,0.3703703703703704
1|11,0.3703703703703704
1|12,0.4444444444444445
2|3,0.27777777777777773
2|4,0.09259259259259256
2|5,0.29629629629629634
2|6,0.4074074074074074
2|7,0.24074074074074076
2|8,0.18518518518518517
2|9,0.3148148148148148
2|10,0.27777777777777773
2|11,0.29629629629629634
2|12,0.3333333333333333
3|4,0.20370370370370366
3|5,0.3703703703703704
3|6,0.4259259259259259
3|7,0.29629629629629634
3|8,0.20370370370370366
3|9,0.3703703703703704
3|10,0.3148148148148148
3|11,0.3703703703703704
3|12,0.3888888888888889
4|5,0.29629629629629634
4|6,0.46296296296296297
4|7,0.24074074074074076
4|8,0.1296296296296296
4|9,0.27777777777777773
4|10,0.3703703703703704
4|11,0.3888888888888889
4|12,0.3518518518518518
5|6,0.3518518518518518
5|7,0.27777777777777773
5|8,0.25925925925925924
5|9,0.49999999999999994
5|10,0.3703703703703704
5|11,0.27777777777777773
5|12,0.4074074074074074
6|7,0.4074074074074074
6|8,0.4074074074074074
6|9,0.49999999999999994
6|10,0.49999999999999994
6|11,0.3888888888888889
6|12,0.49999999999999994
7|8,0.16666666666666669
7|9,0.4074074074074074
7|10,0.3333333333333333
7|11,0.20370370370370366
7|12,0.3888888888888889
8|9,0.3888888888888889
8|10,0.18518518518518517
8|11,0.25925925925925924
8|12,0.3703703703703704
9|10,0.4444444444444445
9|11,0.48148148148148145
9|12,0.5185185185185186
10|11,0.29629629629629634
10|12,0.5555555555555556
11|12,0.5185185185185186
0|1|2,0.4259259259259259
0|1|3,0.48148148148148145
0|1|4,0.4074074074074074
0|1|5,0.48148148148148145
0|1|6,0.5555555555555556
0|1|7,0.46296296296296297
0|1|8,0.4074074074074074
0|1|9,0.4444444444444445
0|1|10,0.48148148148148145
0|1|11,0.5555555555555556
0|1|12,0.5185185185185186
0|2|3,0.46296296296296297
