set,value
s,0.005449522317246267
s0,0.0062222792771959475
s1,0.03236789162001955
s2,0.005449522317246267
s3,0.008522425608677423
s4,0.00492797269980676
s5,0.005449522317246267
s6,0.005449522317246267
s7,0.00911926464660331
s8,0.010898274712467374
s9,0.014978823929327454
s10,0.005449522317246267
s11,0.005449522317246267
s12,0.006902272035324688
s13,0.010388838602825719
s01,0.035326891183674214
s02,0.0062222792771959475
s03,0.01064792098097698
s04,0.005221570438239815
s05,0.0062222792771959475
s06,0.0062222792771959475
s07,0.009601640395528277
s08,0.009805742283624151
s09,0.018107995287008467
s010,0.0062222792771959475
s011,0.0062222792771959475
s012,0.00787940074205906
s013,0.01185365603968146
s12,0.03236789162001955
s13,0.05927922429933152
s14,0.02934612107538375
s15,0.03236789162001955
s16,0.03236789162001955
s17,0.07689976538774748
s18,0.10273513766678283
s19,0.08749173239436756
s110,0.03236789162001955
s111,0.03236789162001955
s112,0.04587232629333383
s113,0.060227870873075746
s23,0.008522425608677423
s24,0.00492797269980676
s25,0.005449522317246267
s26,0.005449522317246267
s27,0.00911926464660331
s28,0.010898274712467374
s29,0.014978823929327454
s210,0.005449522317246267
s211,0.005449522317246267
s212,0.006902272035324688
s213,0.010388838602825719
s34,0.007709061653845927
s35,0.008522425608677423
s36,0.008522425608677423
s37,0.013713579860448135
s38,0.016045489366736287
s39,0.02388302913839293
s310,0.008522425608677423
s311,0.008522425608677423
s312,0.010785475244970363
s313,0.028762343211425064
s45,0.00492797269980676
s46,0.00492797269980676
s47,0.007824705812230695
s48,0.010837505289570419
s49,0.01355769957886087
s410,0.00492797269980676
s411,0.00492797269980676
s412,0.006242558881619056
s413,0.00939903638351246
s56,0.005449522317246267
s57,0.00911926464660331
s58,0.010898274712467374
s59,0.014978823929327454
s510,0.005449522317246267
s511,0.005449522317246267
s512,0.006902272035324688
s513,0.010388838602825719
s67,0.00911926464660331
s68,0.010898274712467374
s69,0.014978823929327454
s610,0.005449522317246267
s611,0.005449522317246267
s612,0.006902272035324688
s613,0.010388838602825719
s78,0.027091578915754925
s79,0.02490496429292244
s710,0.00911926464660331
s711,0.00911926464660331
s712,0.011538954782724126
s713,0.01407506998158273
s89,0.034334483232272596
s810,0.010898274712467374
s811,0.010898274712467374
s812,0.01378343814066796
s813,0.020141975845655746
s910,0.014978823929327454
s911,0.014978823929327454
s912,0.02095537690570858
s913,0.032094691068592245
s1011,0.005449522317246267
s1012,0.006902272035324688
s1013,0.010388838602825719
s1112,0.006902272035324688
s1113,0.010388838602825719
s1213,0.013897394422465762
s012,0.035326891183674214
s013,0.07732639100695204
s014,0.029785676468147587
s015,0.035326891183674214
s016,0.035326891183674214
s017,0.07979508568672372
s018,0.08405185965547576
s019,0.10023642843528008
s0110,0.035326891183674214
s0111,0.035326891183674214
s0112,0.05000207607170937
s0113,0.06556120373387163
s023,0.01064792098097698
s024,0.005221570438239815
s025,0.0062222792771959475
s026,0.0062222792771959475
s027,0.009601640395528277
s028,0.009805742283624151
s029,0.018107995287008467
s0210,0.0062222792771959475
s0211,0.0062222792771959475
s0212,0.00787940074205906
s0213,0.01185365603968146
s034,0.008941854969251128
s035,0.01064792098097698
s036,0.01064792098097698
s037,0.015795565567272726
s038,0.014786949225538009
s039,0.030026258948061074
s0310,0.01064792098097698
s0311,0.01064792098097698
s0312,0.013467709257291117
s0313,0.03575364970988061
s045,0.005221570438239815
s046,0.005221570438239815
s047,0.007646723292460632
s048,0.009751004828124587
s049,0.015225031081520693
s0410,0.005221570438239815
s0411,0.005221570438239815
s0412,0.006613956192382554
s0413,0.009956344962724835
s056,0.0062222792771959475
s057,0.009601640395528277
s058,0.009805742283624151
s059,0.018107995287008467
s0510,0.0062222792771959475
s0511,0.0062222792771959475
s0512,0.00787940074205906
s0513,0.01185365603968146
s067,0.009601640395528277
s068,0.009805742283624151
s069,0.018107995287008467
s0610,0.0062222792771959475
s0611,0.0062222792771959475
s0612,0.00787940074205906
s0613,0.01185365603968146
s078,0.02382671352821599
s079,0.02776223438370826
s0710,0.009601640395528277
s0711,0.009601640395528277
s0712,0.012147754156667315
s0713,0.015185415709550643
s089,0.027434793280673678
s0810,0.009805742283624151
s0811,0.009805742283624151
s0812,0.012405300819382476
s0813,0.018139773707409008
s0910,0.018107995287008467
s0911,0.018107995287008467
s0912,0.02530101840494061
s0913,0.036906664176503456
s01011,0.0062222792771959475
s01012,0.00787940074205906
s01013,0.01185365603968146
s01112,0.00787940074205906
s01113,0.01185365603968146
s01213,0.015848992396168302
s123,0.05927922429933152
s124,0.02934612107538375
s125,0.03236789162001955
s126,0.03236789162001955
s127,0.07689976538774748
s128,0.10273513766678283
s129,0.08749173239436756
s1210,0.03236789162001955
s1211,0.03236789162001955
s1212,0.04587232629333383
s1213,0.060227870873075746
s134,0.053884998540987016
s135,0.05927922429933152
s136,0.05927922429933152
s137,0.11891739839871583
s138,0.1510246229591773
s139,0.15630109106097878
s1310,0.05927922429933152
s1311,0.05927922429933152
s1312,0.08106901749103076
s1313,0.1783749541382268
s145,0.02934612107538375
s146,0.02934612107538375
s147,0.06663019378488952
s148,0.10221520036602409
s149,0.07974788981635828
s1410,0.02934612107538375
s1411,0.02934612107538375
s1412,0.041644080041533804
s1413,0.054752345486352126
s156,0.03236789162001955
s157,0.07689976538774748
s158,0.10273513766678283
s159,0.08749173239436756
s1510,0.03236789162001955
s1511,0.03236789162001955
s1512,0.04587232629333383
s1513,0.060227870873075746
s167,0.07689976538774748
s168,0.10273513766678283
s169,0.08749173239436756
s1610,0.03236789162001955
s1611,0.03236789162001955
s1612,0.04587232629333383
s1613,0.060227870873075746
s178,0.28959185560223305
s179,0.19275569236389786
s1710,0.07689976538774748
s1711,0.07689976538774748
s1712,0.10693048803317655
