set,value
s,0.00026954911299981177
s0,0.00026954911299981177
s1,0.0006409850320778787
s2,0.001266546081751585
s3,6.714633491355926e-05
s4,0.0007886569364927709
s5,0.00024026438768487424
s6,9.435101674171165e-06
s7,0.008301101624965668
s8,0.043928805738687515
s9,6.587150710402057e-05
s10,0.0014765962259843946
s11,0.001535702613182366
s12,0.0011520646512508392
s13,0.0027087393682450056
s01,0.0006409850320778787
s02,0.001266546081751585
s03,6.714633491355926e-05
s04,0.0007886569364927709
s05,0.00024026438768487424
s06,9.435101674171165e-06
s07,0.008301101624965668
s08,0.043928805738687515
s09,6.587150710402057e-05
s010,0.0014765962259843946
s011,0.001535702613182366
s012,0.0011520646512508392
s013,0.0027087393682450056
s12,0.0024961819872260094
s13,0.00018217942852061242
s14,0.014885849319398403
s15,0.0013368191430345178
s16,0.00026508132577873766
s17,0.014282000251114368
s18,0.04119003191590309
s19,0.00016361926100216806
s110,0.0017905781278386712
s111,0.0017814872553572059
s112,0.0014593529049307108
s113,0.0018862058641389012
s23,0.0009476553532294929
s24,0.0023104315623641014
s25,0.00041526902350597084
s26,5.9430833061924204e-05
s27,0.006417456082999706
s28,0.03054916113615036
s29,0.00013356105773709714
s210,0.00470817880704999
s211,0.007103841286152601
s212,0.0026474236510694027
s213,0.00469449395313859
s34,0.015001903288066387
s35,0.00011876114149345085
s36,7.026040111668408e-05
s37,0.24140594899654388
s38,0.07387461513280869
s39,1.7991807908401825e-05
s310,0.0002377901109866798
s311,0.0002233786799479276
s312,9.431289799977094e-05
s313,0.00040705615538172424
s45,0.0012677132617682219
s46,0.1405019611120224
s47,0.057637427002191544
s48,0.06803415715694427
s49,0.0017181480070576072
s410,0.0025851824320852757
s411,0.00191408465616405
s412,0.0010566649725660682
s413,0.0035402383655309677
s56,0.0002814768813550472
s57,0.004441997967660427
s58,0.04312539100646973
s59,0.0003757721569854766
s510,0.0008476636721752584
s511,0.0009522138861939311
s512,0.0006469781510531902
s513,0.0006228728452697396
s67,0.01042848452925682
s68,0.0027948510833084583
s69,4.6750410547247157e-05
s610,1.429087387805339e-05
s611,2.3462156605091877e-05
s612,1.1689421626215335e-05
s613,3.293548070359975e-05
s78,0.15479029715061188
s79,0.005120332818478346
s710,0.02654566988348961
s711,0.031467050313949585
s712,0.021503040567040443
s713,0.03057188168168068
s89,0.017969394102692604
s810,0.07595676928758621
s811,0.048442989587783813
s812,0.01377545390278101
s813,0.05516897514462471
s910,0.00018827895110007375
s911,0.0003122350317426026
s912,0.0001513063325546682
s913,0.00024110559024848044
s1011,0.002824780298396945
s1012,0.004704467952251434
s1013,0.006637901999056339
s1112,0.004596469923853874
s1113,0.009246624074876308
s1213,0.005324188154190779
s012,0.0024961819872260094
s013,0.00018217942852061242
s014,0.014885849319398403
s015,0.0013368191430345178
s016,0.00026508132577873766
s017,0.014282000251114368
s018,0.04119003191590309
s019,0.00016361926100216806
s0110,0.0017905781278386712
s0111,0.0017814872553572059
s0112,0.0014593529049307108
s0113,0.0018862058641389012
s023,0.0009476553532294929
s024,0.0023104315623641014
s025,0.00041526902350597084
s026,5.9430833061924204e-05
s027,0.006417456082999706
s028,0.03054916113615036
s029,0.00013356105773709714
s0210,0.00470817880704999
s0211,0.007103841286152601
s0212,0.0026474236510694027
s0213,0.00469449395313859
s034,0.015001903288066387
s035,0.00011876114149345085
s036,7.026040111668408e-05
s037,0.24140594899654388
s038,0.07387461513280869
s039,1.7991807908401825e-05
s0310,0.0002377901109866798
s0311,0.0002233786799479276
s0312,9.431289799977094e-05
s0313,0.00040705615538172424
s045,0.0012677132617682219
s046,0.1405019611120224
s047,0.057637427002191544
s048,0.06803415715694427
s049,0.0017181480070576072
s0410,0.0025851824320852757
s0411,0.00191408465616405
s0412,0.0010566649725660682
s0413,0.0035402383655309677
s056,0.0002814768813550472
s057,0.004441997967660427
s058,0.04312539100646973
s059,0.0003757721569854766
s0510,0.0008476636721752584
s0511,0.0009522138861939311
s0512,0.0006469781510531902
s0513,0.0006228728452697396
s067,0.01042848452925682
s068,0.0027948510833084583
s069,4.6750410547247157e-05
s0610,1.429087387805339e-05
s0611,2.3462156605091877e-05
s0612,1.1689421626215335e-05
s0613,3.293548070359975e-05
s078,0.15479029715061188
s079,0.005120332818478346
s0710,0.02654566988348961
s0711,0.031467050313949585
s0712,0.021503040567040443
s0713,0.03057188168168068
s089,0.017969394102692604
s0810,0.07595676928758621
s0811,0.048442989587783813
s0812,0.01377545390278101
s0813,0.05516897514462471
s0910,0.00018827895110007375
s0911,0.0003122350317426026
s0912,0.0001513063325546682
s0913,0.00024110559024848044
s01011,0.002824780298396945
s01012,0.004704467952251434
s01013,0.006637901999056339
s01112,0.004596469923853874
s01113,0.009246624074876308
s01213,0.005324188154190779
s123,0.00134088727645576
s124,0.052509427070617676
s125,0.0031219818629324436
