set,value
s,0.0004274422535672784
s0,0.0004274422535672784
s1,1.4072204066906124e-05
s2,0.00018457240366842598
s3,0.7325487732887268
s4,9.063661855179816e-05
s5,5.710091136279516e-05
s6,7.756739796604961e-05
s7,0.00010982393723679706
s8,0.0005222540930844843
s9,0.013103820383548737
s10,0.0006070816889405251
s11,0.0007256032549776137
s12,0.0009434308158233762
s13,0.0006254680920392275
s01,1.4072204066906124e-05
s02,0.00018457240366842598
s03,0.7325487732887268
s04,9.063661855179816e-05
s05,5.710091136279516e-05
s06,7.756739796604961e-05
s07,0.00010982393723679706
s08,0.0005222540930844843
s09,0.013103820383548737
s010,0.0006070816889405251
s011,0.0007256032549776137
s012,0.0009434308158233762
s013,0.0006254680920392275
s12,1.7195587133755907e-05
s13,0.526665210723877
s14,2.838944419636391e-05
s15,5.783675533166388e-06
s16,1.3464644325722475e-05
s17,1.3076686400381732e-06
s18,2.607783790153917e-05
s19,0.004601899068802595
s110,3.549813754943898e-06
s111,1.041356608766364e-05
s112,1.2766530744556803e-05
s113,1.1787042240030132e-05
s23,0.6448928117752075
s24,3.667040800792165e-05
s25,9.312648035120219e-05
s26,4.117265052627772e-05
s27,3.8572139601456e-05
s28,0.00024352650507353246
s29,0.00846564956009388
s210,0.00021925586042925715
s211,0.00026327636442147195
s212,0.00032871493021957576
s213,0.00023970687470864505
s34,0.7380947470664978
s35,0.7419918179512024
s36,0.7085742950439453
s37,0.8351002335548401
s38,0.7631251811981201
s39,0.7105122208595276
s310,0.8482977151870728
s311,0.7605517506599426
s312,0.7382768392562866
s313,0.7489058375358582
s45,1.1902669939445332e-05
s46,0.0001435414160368964
s47,2.353172021685168e-05
s48,4.019667176180519e-05
s49,0.0017663377802819014
s410,6.861540168756619e-05
s411,0.00014066089352127165
s412,0.0001318440627073869
s413,0.00011954709771089256
s56,9.361487900605425e-05
s57,0.00026894762413576245
s58,3.7444599001901224e-05
s59,0.002447935752570629
s510,5.950238119112328e-05
s511,7.16792419552803e-05
s512,0.00011010419257218018
s513,7.246950553962961e-05
s67,6.804242730140686e-05
s68,0.0001636267261346802
s69,0.030788958072662354
s610,0.00015412011998705566
s611,0.00012058779975632206
s612,0.00014754563744645566
s613,0.0001323430478805676
s78,0.0001300903531955555
s79,0.009915907867252827
s710,0.000300722720567137
s711,0.00012148231326136738
s712,0.00011297710443614051
s713,0.00016257808601949364
s89,0.03790203109383583
s810,0.0003048497892450541
s811,0.0012770327739417553
s812,0.0010247013997286558
s813,0.0006715623312629759
s910,0.021516678854823112
s911,0.029458999633789062
s912,0.015506633557379246
s913,0.010840024799108505
s1011,0.0018196633318439126
s1012,0.000766040466260165
s1013,0.0006206142134033144
s1112,0.0009863923769444227
s1113,0.0008317187312059104
s1213,0.0011215935228392482
s012,1.7195587133755907e-05
s013,0.526665210723877
s014,2.838944419636391e-05
s015,5.783675533166388e-06
s016,1.3464644325722475e-05
s017,1.3076686400381732e-06
s018,2.607783790153917e-05
s019,0.004601899068802595
s0110,3.549813754943898e-06
s0111,1.041356608766364e-05
s0112,1.2766530744556803e-05
s0113,1.1787042240030132e-05
s023,0.6448928117752075
s024,3.667040800792165e-05
s025,9.312648035120219e-05
s026,4.117265052627772e-05
s027,3.8572139601456e-05
s028,0.00024352650507353246
s029,0.00846564956009388
s0210,0.00021925586042925715
s0211,0.00026327636442147195
s0212,0.00032871493021957576
s0213,0.00023970687470864505
s034,0.7380947470664978
s035,0.7419918179512024
s036,0.7085742950439453
s037,0.8351002335548401
s038,0.7631251811981201
s039,0.7105122208595276
s0310,0.8482977151870728
s0311,0.7605517506599426
s0312,0.7382768392562866
s0313,0.7489058375358582
s045,1.1902669939445332e-05
s046,0.0001435414160368964
s047,2.353172021685168e-05
s048,4.019667176180519e-05
s049,0.0017663377802819014
s0410,6.861540168756619e-05
s0411,0.00014066089352127165
s0412,0.0001318440627073869
s0413,0.00011954709771089256
s056,9.361487900605425e-05
s057,0.00026894762413576245
s058,3.7444599001901224e-05
s059,0.002447935752570629
s0510,5.950238119112328e-05
s0511,7.16792419552803e-05
s0512,0.00011010419257218018
s0513,7.246950553962961e-05
s067,6.804242730140686e-05
s068,0.0001636267261346802
s069,0.030788958072662354
s0610,0.00015412011998705566
s0611,0.00012058779975632206
s0612,0.00014754563744645566
s0613,0.0001323430478805676
s078,0.0001300903531955555
s079,0.009915907867252827
s0710,0.000300722720567137
s0711,0.00012148231326136738
s0712,0.00011297710443614051
s0713,0.00016257808601949364
s089,0.03790203109383583
s0810,0.0003048497892450541
s0811,0.0012770327739417553
s0812,0.0010247013997286558
s0813,0.0006715623312629759
s0910,0.021516678854823112
s0911,0.029458999633789062
s0912,0.015506633557379246
s0913,0.010840024799108505
s01011,0.0018196633318439126
s01012,0.000766040466260165
s01013,0.0006206142134033144
s01112,0.0009863923769444227
s01113,0.0008317187312059104
s01213,0.0011215935228392482
s123,0.4854840040206909
s124,2.7285534088150598e-05
s125,2.4475548343616538e-05
s126,1.3409322491497733e-05
s127,3.1047632091940613e-06
s128,3.157319952151738e-05
s129,0.002060081111267209
s1210,1.0524093340791296e-05
s1211,1.7373489754390903e-05
s1212,1.9778604837483726e-05
s1213,1.7098003809223883e-05
s134,0.7024586796760559
s135,0.7025161385536194
s136,0.517354428768158
s137,0.6570417881011963
s138,0.5877849459648132
s139,0.6364732384681702
s1310,0.6811285614967346
s1311,0.5581866502761841
s1312,0.5234256982803345
s1313,0.5432972311973572
s145,1.0698302503442392e-05
s146,0.00017287777154706419
s147,8.066363079706207e-06
s148,5.471442636917345e-05
s149,0.005113628227263689
s1410,1.669025732553564e-05
s1411,5.444691123557277e-05
s1412,2.904410575865768e-05
s1413,3.245738844270818e-05
s156,3.8643651350867e-05
s157,0.00012142932246206328
s158,6.057153314031893e-06
s159,0.0011429123114794493
s1510,6.622239652642747e-06
s1511,4.253380211594049e-06
s1512,5.917657290410716e-06
s1513,5.925084678892745e-06
s167,9.978708476410247e-06
s168,3.36889352183789e-05
s169,0.012802951969206333
s1610,3.2010786526370794e-05
s1611,1.3930917702964507e-05
s1612,1.8108768927049823e-05
s1613,2.030882751569152e-05
s178,4.396706117404392e-06
s179,0.0033749425783753395
s1710,2.9944110337964958e-06
s1711,1.3535304788092617e-06
s1712,1.119403236771177e-06
s1713,2.12208374250622e-06
s189,0.01253565028309822
s1810,6.968085926928325e-06
s1811,2.5037157683982514e-05
s1812,3.5919649235438555e-05
s1813,2.078026045637671e-05
s1910,0.006528112571686506
s1911,0.006904863752424717
s1912,0.004531470127403736
s1913,0.00341631006449461
s11011,1.0592381840979215e-05
s11012,2.7321389097778592e-06
s11013,9.51209949562326e-06
s11112,1.8663300579646602e-05
s11113,7.725608156761155e-06
s11213,9.156357918982394e-06
s234,0.6574434638023376
s235,0.7529456615447998
s236,0.6376025676727295
s237,0.811728298664093
s238,0.6914170384407043
s239,0.6800216436386108
s2310,0.7847024202346802
s2311,0.6732274293899536
s2312,0.6496149897575378
s2313,0.6701797246932983
s245,1.724210051179398e-05
s246,6.681556260446087e-05
s247,9.289850822824519e-06
s248,2.9149337933631614e-05
s249,0.0016870141262188554
s2410,2.7376789148547687e-05
s2411,6.543896597577259e-05
s2412,4.480077768675983e-05
s2413,4.248725235811435e-05
s256,0.00014253845438361168
s257,0.0003880065050907433
s258,4.314396937843412e-05
s259,0.002213606145232916
s2510,7.165247370721772e-05
s2511,8.344337402377278e-05
s2512,0.00016774953110143542
s2513,0.00011430765152908862
s267,4.4119478843640536e-05
s268,7.74859800003469e-05
s269,0.02092817611992359
s2610,0.0001308238715864718
s2611,8.035131031647325e-05
s2612,8.068577881203964e-05
s2613,7.033644214970991e-05
s278,4.977617572876625e-05
s279,0.009184606373310089
s2710,7.862352504162118e-05
s2711,3.420974098844454e-05
s2712,3.375568121555261e-05
s2713,5.476541628013365e-05
s289,0.025877688080072403
s2810,0.00013314845273271203
s2811,0.0004226607270538807
s2812,0.00041617758688516915
s2813,0.0002811914018820971
s2910,0.015142615884542465
s2911,0.016951102763414383
s2912,0.009543581865727901
s2913,0.006798689719289541
s21011,0.0005446497234515846
s21012,0.0002046967128990218
s21013,0.00029745689244009554
s21112,0.000390933477319777
s21113,0.000263688329141587
s21213,0.0003342291747685522
s345,0.7536977529525757
s346,0.7925090789794922
s347,0.8574365377426147
s348,0.7352978587150574
s349,0.787844717502594
s3410,0.8680564165115356
s3411,0.7706475257873535
s3412,0.7470036149024963
s3413,0.762384295463562
s356,0.752032995223999
s357,0.7419326901435852
s358,0.7830226421356201
s359,0.737725555896759
s3510,0.8474317193031311
s3511,0.777533769607544
s3512,0.7492505311965942
s3513,0.7489885687828064
s367,0.8800495862960815
s368,0.880144476890564
s369,0.8225570321083069
