set,value
s,0.000370759837096557
s0,0.000370759837096557
s1,0.0035865178797394037
s2,0.00063982920255512
s3,0.00011373856978025287
s4,9.924299956765026e-05
s5,0.0007222827989608049
s6,0.00014690581883769482
s7,8.620559128758032e-06
s8,4.717447518487461e-05
s9,0.0001362900948151946
s10,0.00028795088292099535
s11,6.645432586083189e-05
s12,0.004197367001324892
s13,0.0005107696051709354
s01,0.0035865178797394037
s02,0.00063982920255512
s03,0.00011373856978025287
s04,9.924299956765026e-05
s05,0.0007222827989608049
s06,0.00014690581883769482
s07,8.620559128758032e-06
s08,4.717447518487461e-05
s09,0.0001362900948151946
s010,0.00028795088292099535
s011,6.645432586083189e-05
s012,0.004197367001324892
s013,0.0005107696051709354
s12,0.018811717629432678
s13,0.0028604655526578426
s14,0.0017699928721413016
s15,0.006899308878928423
s16,0.0017752983840182424
s17,0.0027546780183911324
s18,0.0006070358213037252
s19,0.0040155746974051
s110,0.00207511056214571
s111,0.0010292516089975834
s112,0.005806268658488989
s113,0.005795736331492662
s23,0.012448756024241447
s24,0.00046336252125911415
s25,0.0009462661691941321
s26,0.00037804432213306427
s27,0.00028550534625537694
s28,0.0004328031209297478
s29,0.0006078293663449585
s210,0.0001056043547578156
s211,0.00025604269467294216
s212,0.0013062115758657455
s213,0.0005480563268065453
s34,0.00010925374226644635
s35,8.308635005960241e-05
s36,0.00013108445273246616
s37,8.4956300270278e-06
s38,9.76506998995319e-05
s39,9.294236951973289e-05
s310,0.0004572027246467769
s311,2.3304251953959465e-05
s312,0.0020640306174755096
s313,5.126655014464632e-05
s45,9.626892278902233e-05
s46,0.00034895900171250105
s47,2.0278437204979127e-06
s48,1.9942113794968463e-05
s49,1.5019002603366971e-05
s410,0.00016028113896027207
s411,2.8216076316311955e-05
s412,0.002088819397613406
s413,0.00013322773156687617
s56,0.00018048350466415286
s57,2.509842261133599e-06
s58,4.6823053708067164e-05
s59,0.0001912736624944955
s510,0.0003488851070869714
s511,4.1869196138577536e-05
s512,0.0030077078845351934
s513,0.000167925376445055
s67,3.885834757966222e-06
s68,2.0825898900511675e-05
s69,0.0001086959382519126
s610,0.00015810877084732056
s611,2.238648994534742e-05
s612,0.00367323262616992
s613,0.00037719658575952053
s78,2.9077559702272993e-06
s79,1.1549816917977296e-05
s710,4.4708067434839904e-05
s711,1.0750070487119956e-06
s712,0.0016216520452871919
s713,0.00011919510143343359
s89,1.4938966160116252e-05
s810,0.001530445646494627
s811,1.6768108253018e-05
s812,0.0035853059962391853
s813,0.0008833666797727346
s910,6.518755981232971e-05
s911,2.92197128146654e-05
s912,0.0010136108612641692
s913,0.0008065326255746186
s1011,0.0001112960308091715
