set,value
s,0.0010504506062716246
s0,0.0010504506062716246
s1,0.0005531224305741489
s2,0.0004642907006200403
s3,0.6785199046134949
s4,0.0010504506062716246
s5,0.06803352385759354
s6,0.002064184518530965
s7,0.0005537442048080266
s8,0.0005697384476661682
s9,0.000508034834638238
s10,9.936252899933606e-05
s11,0.001192367053590715
s12,0.0006117070442996919
s13,0.0005552871734835207
s01,0.0005531224305741489
s02,0.0004642907006200403
s03,0.6785199046134949
s04,0.0010504506062716246
s05,0.06803352385759354
s06,0.002064184518530965
s07,0.0005537442048080266
s08,0.0005697384476661682
s09,0.000508034834638238
s010,9.936252899933606e-05
s011,0.001192367053590715
s012,0.0006117070442996919
s013,0.0005552871734835207
s12,0.0005367497797124088
s13,0.614721417427063
s14,0.0005531224305741489
s15,0.05068183317780495
s16,0.02728625386953354
s17,0.0023343823850154877
s18,0.00020347762620076537
s19,0.0002887110167648643
s110,5.700746987713501e-05
s111,0.00025044078938663006
s112,7.295345130842179e-05
s113,3.8228223274927586e-05
s23,0.6484865546226501
s24,0.0004642907006200403
s25,0.03504132106900215
s26,0.018008604645729065
s27,0.0014258110895752907
s28,0.0002192530664615333
s29,0.00015890671056695282
s210,3.0060433346079662e-05
s211,0.00019122484081890434
s212,6.492942338809371e-05
s213,2.7326557756168768e-05
s34,0.6785199046134949
s35,0.7925596237182617
s36,0.6130697727203369
s37,0.6161501407623291
s38,0.7044500112533569
s39,0.632046103477478
s310,0.5780361294746399
s311,0.6846067309379578
s312,0.622694194316864
s313,0.5908679962158203
s45,0.06803352385759354
s46,0.002064184518530965
s47,0.0005537442048080266
s48,0.0005697384476661682
s49,0.000508034834638238
s410,9.936252899933606e-05
s411,0.001192367053590715
s412,0.0006117070442996919
s413,0.0005552871734835207
s56,0.048611756414175034
s57,0.0348220132291317
s58,0.06512777507305145
s59,0.05535663291811943
s510,0.0882267877459526
s511,0.08224637806415558
s512,0.12789291143417358
s513,0.10272994637489319
s67,0.0415445901453495
s68,0.0009017985430546105
s69,0.0017031540628522635
s610,0.003542171558365226
s611,0.0008608204661868513
s612,0.0016231673071160913
s613,0.0021108160726726055
s78,0.0004028549592476338
s79,0.0007068683044053614
s710,0.0009162895730696619
s711,0.0005248983507044613
s712,0.0005160977598279715
s713,0.001085408148355782
s89,0.00017540525004733354
s810,7.096641638781875e-05
s811,0.00018653471488505602
s812,0.0004642087733373046
s813,0.0002581964072305709
s910,0.00011182468006154522
s911,0.0003276174538768828
s912,0.000179952010512352
s913,0.00027997049619443715
s1011,8.786086982581764e-05
s1012,7.877971802372485e-05
s1013,0.00010239586845273152
s1112,0.0004729681822936982
s1113,0.00040033794357441366
s1213,0.0004244780575390905
s012,0.0005367497797124088
s013,0.614721417427063
s014,0.0005531224305741489
s015,0.05068183317780495
s016,0.02728625386953354
s017,0.0023343823850154877
s018,0.00020347762620076537
s019,0.0002887110167648643
s0110,5.700746987713501e-05
s0111,0.00025044078938663006
s0112,7.295345130842179e-05
s0113,3.8228223274927586e-05
s023,0.6484865546226501
s024,0.0004642907006200403
s025,0.03504132106900215
s026,0.018008604645729065
s027,0.0014258110895752907
s028,0.0002192530664615333
s029,0.00015890671056695282
s0210,3.0060433346079662e-05
s0211,0.00019122484081890434
s0212,6.492942338809371e-05
s0213,2.7326557756168768e-05
s034,0.6785199046134949
s035,0.7925596237182617
s036,0.6130697727203369
s037,0.6161501407623291
s038,0.7044500112533569
s039,0.632046103477478
s0310,0.5780361294746399
s0311,0.6846067309379578
s0312,0.622694194316864
s0313,0.5908679962158203
s045,0.06803352385759354
s046,0.002064184518530965
s047,0.0005537442048080266
s048,0.0005697384476661682
s049,0.000508034834638238
s0410,9.936252899933606e-05
s0411,0.001192367053590715
s0412,0.0006117070442996919
s0413,0.0005552871734835207
s056,0.048611756414175034
s057,0.0348220132291317
s058,0.06512777507305145
s059,0.05535663291811943
s0510,0.0882267877459526
s0511,0.08224637806415558
s0512,0.12789291143417358
s0513,0.10272994637489319
s067,0.0415445901453495
s068,0.0009017985430546105
s069,0.0017031540628522635
s0610,0.003542171558365226
s0611,0.0008608204661868513
s0612,0.0016231673071160913
s0613,0.0021108160726726055
s078,0.0004028549592476338
s079,0.0007068683044053614
s0710,0.0009162895730696619
s0711,0.0005248983507044613
s0712,0.0005160977598279715
s0713,0.001085408148355782
s089,0.00017540525004733354
s0810,7.096641638781875e-05
s0811,0.00018653471488505602
s0812,0.0004642087733373046
s0813,0.0002581964072305709
s0910,0.00011182468006154522
s0911,0.0003276174538768828
s0912,0.000179952010512352
s0913,0.00027997049619443715
s01011,8.786086982581764e-05
s01012,7.877971802372485e-05
s01013,0.00010239586845273152
s01112,0.0004729681822936982
s01113,0.00040033794357441366
s01213,0.0004244780575390905
s123,0.6565125584602356
s124,0.0005367497797124088
s125,0.04744002968072891
s126,0.10130391269922256
s127,0.0057439967058598995
s128,0.0003059422015212476
s129,0.0002847500145435333
s1210,0.00014960496628191322
s1211,0.00026672770036384463
s1212,6.269454024732113e-05
s1213,3.716271385201253e-05
s134,0.614721417427063
s135,0.7708930969238281
s136,0.6300351023674011
s137,0.6197217106819153
s138,0.6409618258476257
s139,0.5880274772644043
s1310,0.5208813548088074
s1311,0.6189514398574829
s1312,0.552800178527832
s1313,0.5062187314033508
s145,0.05068183317780495
s146,0.02728625386953354
s147,0.0023343823850154877
s148,0.00020347762620076537
s149,0.0002887110167648643
s1410,5.700746987713501e-05
s1411,0.00025044078938663006
s1412,7.295345130842179e-05
s1413,3.8228223274927586e-05
s156,0.04895477741956711
s157,0.04080107435584068
s158,0.05111928656697273
s159,0.04283670708537102
s1510,0.06567763537168503
s1511,0.061075661331415176
s1512,0.09628371894359589
s1513,0.07614254206418991
s167,0.05689214915037155
s168,0.01476049143821001
s169,0.02003217674791813
s1610,0.033462896943092346
s1611,0.013878757134079933
s1612,0.02000521682202816
s1613,0.02330068126320839
s178,0.0016985934926196933
s179,0.002971427980810404
s1710,0.004183056298643351
s1711,0.0021162114571779966
s1712,0.00213578506372869
s1713,0.004594340454787016
s189,6.310877506621182e-05
s1810,4.36824448115658e-05
s1811,3.687357093440369e-05
s1812,9.528217924525961e-05
s1813,2.3317257728194818e-05
s1910,8.916822844184935e-05
s1911,6.808334728702903e-05
s1912,1.755102857714519e-05
s1913,3.116751759080216e-05
s11011,4.52107451565098e-05
s11012,2.3408254492096603e-05
s11013,3.4007971407845616e-05
s11112,3.637987174442969e-05
s11113,2.9312601327546872e-05
s11213,2.110353125317488e-05
