set,value
s,0.0004206063167657703
s0,0.0004206063167657703
s1,0.0036838219966739416
s2,0.00023963481362443417
s3,0.00035584918805398047
s4,0.00011233249824726954
s5,1.622458512429148e-05
s6,0.014114017598330975
s7,0.0010112628806382418
s8,0.0011474740458652377
s9,0.010135225020349026
s10,0.0002121623110724613
s11,0.001000601565465331
s12,0.0007665744633413851
s13,0.004769989755004644
s01,0.0036838219966739416
s02,0.00023963481362443417
s03,0.00035584918805398047
s04,0.00011233249824726954
s05,1.622458512429148e-05
s06,0.014114017598330975
s07,0.0010112628806382418
s08,0.0011474740458652377
s09,0.010135225020349026
s010,0.0002121623110724613
s011,0.001000601565465331
s012,0.0007665744633413851
s013,0.004769989755004644
s12,0.0003007930936291814
s13,0.004461541306227446
s14,0.0004000627377536148
s15,2.5580218789400533e-05
s16,0.012096852995455265
s17,0.01645103096961975
s18,0.003001791425049305
s19,0.02258857525885105
s110,0.0006943617481738329
s111,0.003347391728311777
s112,0.004357036203145981
s113,0.010056815110147
s23,0.0001955266488948837
s24,8.464389247819781e-05
s25,8.981358405435458e-06
s26,0.019808080047369003
s27,0.0009377632522955537
s28,0.0004482619697228074
s29,0.006678975187242031
s210,6.126618973212317e-05
s211,0.0002185509802075103
s212,0.00035294692497700453
s213,0.0011492159683257341
s34,8.260359027190134e-05
s35,1.3890761692891829e-05
s36,0.014586703851819038
s37,0.0010149027220904827
s38,0.0007303901365958154
s39,0.009555069729685783
s310,0.0001374678686261177
s311,0.000697700830642134
s312,0.0005802224040962756
s313,0.0034127996768802404
s45,2.106600186380092e-05
s46,0.00829319842159748
s47,0.00014057553198654205
s48,0.0001126197021221742
s49,0.0024622895289212465
s410,0.000517014879733324
s411,0.00020109850447624922
s412,0.0001318534486927092
s413,0.0005130934878252447
s56,0.0023958494421094656
s57,6.618216139031574e-05
s58,3.731318793143146e-05
s59,0.001620082650333643
s510,4.1183164285030216e-05
s511,3.80783858417999e-05
s512,2.2100157366367057e-05
s513,6.719716475345194e-05
s67,0.012507985346019268
s68,0.01881328970193863
s69,0.039373960345983505
s610,0.004846083465963602
s611,0.00891239196062088
s612,0.007855767384171486
s613,0.04939480125904083
s78,0.0015803566202521324
s79,0.004840440582484007
s710,0.0004738696734420955
s711,0.0022960170172154903
s712,0.00138509226962924
s713,0.004814880900084972
s89,0.009885710664093494
s810,0.00019114698807243258
s811,0.002176418201997876
s812,0.0007390840910375118
s813,0.004426636733114719
s910,0.01381697878241539
s911,0.0167166106402874
s912,0.013091308996081352
s913,0.016228055581450462
s1011,0.00017337602912448347
s1012,0.00021424384613055736
s1013,0.0012683412060141563
s1112,0.0016504969680681825
s1113,0.005928225349634886
s1213,0.0060551464557647705
s012,0.0003007930936291814
s013,0.004461541306227446
s014,0.0004000627377536148
s015,2.5580218789400533e-05
s016,0.012096852995455265
s017,0.01645103096961975
s018,0.003001791425049305
s019,0.02258857525885105
s0110,0.0006943617481738329
s0111,0.003347391728311777
s0112,0.004357036203145981
s0113,0.010056815110147
s023,0.0001955266488948837
s024,8.464389247819781e-05
s025,8.981358405435458e-06
s026,0.019808080047369003
s027,0.0009377632522955537
s028,0.0004482619697228074
s029,0.006678975187242031
s0210,6.126618973212317e-05
s0211,0.0002185509802075103
s0212,0.00035294692497700453
s0213,0.0011492159683257341
s034,8.260359027190134e-05
s035,1.3890761692891829e-05
s036,0.014586703851819038
s037,0.0010149027220904827
s038,0.0007303901365958154
s039,0.009555069729685783
s0310,0.0001374678686261177
s0311,0.000697700830642134
s0312,0.0005802224040962756
s0313,0.0034127996768802404
s045,2.106600186380092e-05
s046,0.00829319842159748
s047,0.00014057553198654205
s048,0.0001126197021221742
s049,0.0024622895289212465
s0410,0.000517014879733324
s0411,0.00020109850447624922
s0412,0.0001318534486927092
s0413,0.0005130934878252447
s056,0.0023958494421094656
s057,6.618216139031574e-05
s058,3.731318793143146e-05
s059,0.001620082650333643
s0510,4.1183164285030216e-05
s0511,3.80783858417999e-05
s0512,2.2100157366367057e-05
s0513,6.719716475345194e-05
s067,0.012507985346019268
s068,0.01881328970193863
s069,0.039373960345983505
s0610,0.004846083465963602
s0611,0.00891239196062088
s0612,0.007855767384171486
s0613,0.04939480125904083
s078,0.0015803566202521324
s079,0.004840440582484007
s0710,0.0004738696734420955
s0711,0.0022960170172154903
s0712,0.00138509226962924
s0713,0.004814880900084972
s089,0.009885710664093494
s0810,0.00019114698807243258
s0811,0.002176418201997876
s0812,0.0007390840910375118
s0813,0.004426636733114719
s0910,0.01381697878241539
s0911,0.0167166106402874
s0912,0.013091308996081352
s0913,0.016228055581450462
s01011,0.00017337602912448347
s01012,0.00021424384613055736
s01013,0.0012683412060141563
s01112,0.0016504969680681825
s01113,0.005928225349634886
s01213,0.0060551464557647705
s123,0.0003525662177708
s124,8.324672671733424e-05
s125,3.6214751162333414e-06
s126,0.021373795345425606
s127,0.0020592198707163334
s128,0.000504401046782732
s129,0.01057850569486618
s1210,7.63651987654157e-05
s1211,0.000222688089706935
s1212,0.0004565793788060546
s1213,0.0013598158257082105
s134,0.0004959251382388175
s135,3.1387506169267e-05
s136,0.01288633607327938
s137,0.01765446551144123
s138,0.0032310758251696825
s139,0.024945514276623726
s1310,0.000868822040501982
s1311,0.004094839561730623
s1312,0.005299552343785763
s1313,0.012199955061078072
s145,3.413249214645475e-05
s146,0.006027989089488983
s147,0.002492688363417983
s148,0.0003652919258456677
s149,0.005006980150938034
s1410,0.0010431442642584443
s1411,0.00046863954048603773
s1412,0.0004713544622063637
s1413,0.0010411265539005399
s156,0.0015716662164777517
s157,0.00043219991493970156
s158,6.759433745173737e-05
s159,0.0019081501523032784
s1510,5.196635902393609e-05
s1511,3.763672066270374e-05
s1512,3.199488128302619e-05
s1513,0.00011027370783267543
s167,0.014543560333549976
s168,0.016910839825868607
s169,0.04268438741564751
s1610,0.0037794269155710936
s1611,0.007740105502307415
s1612,0.006430141162127256
s1613,0.03614190220832825
s178,0.00907572079449892
s179,0.02181396074593067
s1710,0.0038365190848708153
s1711,0.01252991333603859
s1712,0.013055559247732162
s1713,0.01798126846551895
s189,0.016948286443948746
s1810,0.0005384165560826659
s1811,0.00333376694470644
s1812,0.0017771862912923098
s1813,0.004839821252971888
s1910,0.021802620962262154
s1911,0.03070707805454731
s1912,0.024248387664556503
s1913,0.02040700614452362
s11011,0.000602434971369803
s11012,0.0007077762857079506
s11013,0.002580648986622691
s11112,0.004033688455820084
s11113,0.008649629540741444
s11213,0.012856167741119862
s234,6.46902117296122e-05
s235,6.760817996109836e-06
s236,0.018621772527694702
s237,0.0009327324223704636
s238,0.0003512747643981129
s239,0.005683723371475935
s2310,4.790211096405983e-05
s2311,0.00016573969332966954
s2312,0.00027551184757612646
s2313,0.000855226768180728
s245,2.959625817311462e-05
s246,0.019669314846396446
s247,0.0003128463577013463
s248,0.00013388368824962527
s249,0.0032021217048168182
s2410,0.00022639927919954062
s2411,0.00010407960508018732
s2412,0.00011263990018051118
s2413,0.00038822012720629573
s256,0.0011699481401592493
s257,5.796817276859656e-05
s258,2.2947348043089733e-05
s259,0.0004943516105413437
s2510,2.1589696189039387e-05
s2511,1.5708010323578492e-05
s2512,1.3393991139309946e-05
s2513,3.349446342326701e-05
s267,0.018939081579446793
s268,0.022518914192914963
s269,0.0753110870718956
s2610,0.007473599631339312
s2611,0.014557521790266037
s2612,0.011301877908408642
s2613,0.07494007050991058
s278,0.0008380064973607659
