set,value
s,0.0002845885755959898
s0,0.0002845885755959898
s1,0.460071861743927
s2,0.0002413365727989003
s3,0.0005424702540040016
s4,0.0007081751246005297
s5,0.005436450242996216
s6,0.008394582197070122
s7,0.0011098950635641813
s8,0.14404281973838806
s9,0.0007549604051746428
s10,0.0011003233958035707
s11,0.00018151164113078266
s12,0.0001625221484573558
s13,0.2746979892253876
s01,0.460071861743927
s02,0.0002413365727989003
s03,0.0005424702540040016
s04,0.0007081751246005297
s05,0.005436450242996216
s06,0.008394582197070122
s07,0.0011098950635641813
s08,0.14404281973838806
s09,0.0007549604051746428
s010,0.0011003233958035707
s011,0.00018151164113078266
s012,0.0001625221484573558
s013,0.2746979892253876
s12,0.43053293228149414
s13,0.4833143651485443
s14,0.6081178188323975
s15,0.49207428097724915
s16,0.8402405381202698
s17,0.35810816287994385
s18,0.9720965623855591
s19,0.5142625570297241
s110,0.5668187141418457
s111,0.1758662909269333
s112,0.2004881203174591
s113,0.8054019212722778
s23,0.0011093977373093367
s24,0.0022198082879185677
s25,0.002726536011323333
s26,0.0024116041604429483
s27,0.0006948882946744561
s28,0.04076669365167618
s29,0.000600173429120332
s210,0.0005826936103403568
s211,0.00010417118028271943
s212,0.00014161071158014238
s213,0.12531757354736328
s34,0.001650391728617251
s35,0.004798427689820528
s36,0.0077750165946781635
s37,0.0006079006707295775
s38,0.1246790811419487
s39,0.0008804419776424766
s310,0.0018313595792278647
s311,0.00024757219944149256
s312,0.00023934344062581658
s313,0.2047789841890335
s45,0.008291823789477348
s46,0.003971030469983816
s47,0.0036311058793216944
s48,0.05377043038606644
s49,0.0034893478732556105
s410,0.0014137487160041928
s411,9.951715037459508e-05
s412,0.00014017554349265993
s413,0.14240774512290955
s56,0.02271098457276821
s57,0.006429146975278854
s58,0.20919808745384216
s59,0.017289726063609123
s510,0.004051037132740021
s511,0.0005763553199358284
s512,0.00045967765618115664
s513,0.22861847281455994
s67,0.0035152630880475044
s68,0.2959764897823334
s69,0.006768412888050079
s610,0.002069675363600254
s611,0.0006943921325728297
s612,0.009566186927258968
s613,0.5396752953529358
s78,0.08189525455236435
s79,0.0014884520787745714
s710,0.001964972587302327
s711,0.0002852527250070125
s712,7.27879669284448e-05
s713,0.08268793672323227
s89,0.23091356456279755
s810,0.21460066735744476
s811,0.2647182047367096
s812,0.5816415548324585
s813,0.8677219152450562
s910,0.0027073470409959555
s911,0.003926681354641914
s912,0.0014538945397362113
s913,0.28674423694610596
s1011,0.00017401525110471994
s1012,6.04057677264791e-05
s1013,0.33626464009284973
s1112,0.00017185577598866075
s1113,0.050580061972141266
s1213,0.2553964853286743
s012,0.43053293228149414
s013,0.4833143651485443
s014,0.6081178188323975
s015,0.49207428097724915
s016,0.8402405381202698
s017,0.35810816287994385
s018,0.9720965623855591
s019,0.5142625570297241
s0110,0.5668187141418457
s0111,0.1758662909269333
s0112,0.2004881203174591
s0113,0.8054019212722778
