set,value
s,5.5757849622750655e-05
s0,5.5757849622750655e-05
s1,5.00810201629065e-05
s2,5.0017104513244703e-05
s3,0.2325909584760666
s4,6.088492682465585e-06
s5,5.360049908631481e-05
s6,0.00031448385561816394
s7,2.8366946935420856e-05
s8,0.006586284842342138
s9,7.629940955666825e-05
s10,0.08737661689519882
s11,0.00011042647383874282
s12,0.00024650630075484514
s13,6.572072743438184e-05
s01,5.00810201629065e-05
s02,5.0017104513244703e-05
s03,0.2325909584760666
s04,6.088492682465585e-06
s05,5.360049908631481e-05
s06,0.00031448385561816394
s07,2.8366946935420856e-05
s08,0.006586284842342138
s09,7.629940955666825e-05
s010,0.08737661689519882
s011,0.00011042647383874282
s012,0.00024650630075484514
s013,6.572072743438184e-05
s12,6.762693374184892e-05
s13,0.11438542604446411
s14,8.724662620807067e-06
s15,4.678502955357544e-05
s16,0.0007653551874682307
s17,1.306782905885484e-05
s18,0.019473878666758537
s19,0.0001480680366512388
s110,0.07331521809101105
s111,1.923811032611411e-05
s112,4.180669930065051e-05
s113,2.3348964532488026e-05
s23,0.2505412697792053
s24,0.0001794510753825307
s25,7.345451012952253e-05
s26,0.0002499163674656302
s27,3.4028489608317614e-05
s28,0.011156604625284672
s29,6.404754094546661e-05
s210,0.0624515600502491
s211,9.027570922626182e-05
s212,0.0001092002130462788
s213,4.4437721953727305e-05
s34,0.45286545157432556
s35,0.23802520334720612
s36,0.4964238405227661
s37,0.1755930483341217
s38,0.1447412073612213
s39,0.1319698840379715
s310,0.7785444259643555
s311,0.18960745632648468
s312,0.25469109416007996
s313,0.2123163491487503
s45,6.372489224304445e-06
s46,0.0001518832432338968
s47,8.729402179596946e-05
s48,0.017117075622081757
s49,2.0660694644902833e-05
s410,0.0454028844833374
s411,1.3328642125998158e-05
s412,4.783294116350589e-06
s413,4.778445600095438e-06
s56,0.0003605161909945309
s57,3.160791311529465e-05
s58,0.007123943418264389
s59,8.160964353010058e-05
s510,0.09510776400566101
s511,9.727089491207153e-05
s512,0.00017123878933489323
s513,5.636158675770275e-05
s67,0.00018452700169291347
s68,0.014663278125226498
s69,0.0018948559882119298
s610,0.6262009143829346
s611,0.0003774339274968952
s612,0.00030507208430208266
s613,0.000316233083140105
s78,0.007503274362534285
s79,5.175694968784228e-05
s710,0.06373609602451324
s711,5.494560900842771e-05
s712,3.3700613130349666e-05
s713,3.369392652530223e-05
s89,0.0036030886694788933
s810,0.06923089921474457
s811,0.006833639461547136
s812,0.004689688794314861
s813,0.004666674882173538
s910,0.09269464761018753
s911,5.7720750191947445e-05
s912,0.00018979267042595893
s913,8.242124749813229e-05
s1011,0.07375162094831467
s1012,0.07631264626979828
s1013,0.06921350955963135
s1112,6.443807069445029e-05
s1113,6.209362618392333e-05
s1213,0.00016397295985370874
s012,6.762693374184892e-05
s013,0.11438542604446411
s014,8.724662620807067e-06
s015,4.678502955357544e-05
s016,0.0007653551874682307
s017,1.306782905885484e-05
s018,0.019473878666758537
s019,0.0001480680366512388
s0110,0.07331521809101105
s0111,1.923811032611411e-05
s0112,4.180669930065051e-05
s0113,2.3348964532488026e-05
s023,0.2505412697792053
s024,0.0001794510753825307
s025,7.345451012952253e-05
s026,0.0002499163674656302
s027,3.4028489608317614e-05
s028,0.011156604625284672
s029,6.404754094546661e-05
s0210,0.0624515600502491
s0211,9.027570922626182e-05
s0212,0.0001092002130462788
s0213,4.4437721953727305e-05
s034,0.45286545157432556
s035,0.23802520334720612
s036,0.4964238405227661
s037,0.1755930483341217
s038,0.1447412073612213
s039,0.1319698840379715
s0310,0.7785444259643555
s0311,0.18960745632648468
s0312,0.25469109416007996
s0313,0.2123163491487503
s045,6.372489224304445e-06
s046,0.0001518832432338968
s047,8.729402179596946e-05
s048,0.017117075622081757
s049,2.0660694644902833e-05
s0410,0.0454028844833374
s0411,1.3328642125998158e-05
s0412,4.783294116350589e-06
s0413,4.778445600095438e-06
s056,0.0003605161909945309
s057,3.160791311529465e-05
s058,0.007123943418264389
s059,8.160964353010058e-05
s0510,0.09510776400566101
s0511,9.727089491207153e-05
s0512,0.00017123878933489323
s0513,5.636158675770275e-05
s067,0.00018452700169291347
s068,0.014663278125226498
s069,0.0018948559882119298
s0610,0.6262009143829346
s0611,0.0003774339274968952
s0612,0.00030507208430208266
s0613,0.000316233083140105
s078,0.007503274362534285
s079,5.175694968784228e-05
s0710,0.06373609602451324
s0711,5.494560900842771e-05
s0712,3.3700613130349666e-05
s0713,3.369392652530223e-05
s089,0.0036030886694788933
s0810,0.06923089921474457
s0811,0.006833639461547136
s0812,0.004689688794314861
s0813,0.004666674882173538
s0910,0.09269464761018753
s0911,5.7720750191947445e-05
s0912,0.00018979267042595893
s0913,8.242124749813229e-05
s01011,0.07375162094831467
s01012,0.07631264626979828
s01013,0.06921350955963135
s01112,6.443807069445029e-05
s01113,6.209362618392333e-05
s01213,0.00016397295985370874
s123,0.17758458852767944
s124,0.00015948624059092253
s125,9.308386506745592e-05
s126,0.000649403955321759
s127,3.4784570743795484e-05
s128,0.01678614132106304
s129,0.00016682795831002295
s1210,0.07095231115818024
s1211,7.679942063987255e-05
s1212,9.188824333250523e-05
s1213,4.461896241991781e-05
s134,0.25679677724838257
s135,0.1173207014799118
s136,0.558670699596405
s137,0.059992626309394836
s138,0.08967644721269608
s139,0.10044243186712265
s1310,0.6859264373779297
s1311,0.08011791855096817
s1312,0.11457071453332901
s1313,0.10158687829971313
s145,8.591781806899235e-06
s146,0.00023012638848740608
s147,8.199623698601499e-05
s148,0.03826035559177399
s149,3.6869583709631115e-05
s1410,0.04439976438879967
s1411,1.056244127539685e-05
s1412,4.823532890441129e-06
s1413,5.679958576365607e-06
s156,0.0008266234654001892
s157,1.0154354640690144e-05
s158,0.019688144326210022
s159,0.00014812173321843147
s1510,0.07771730422973633
s1511,2.0705634597106837e-05
s1512,3.32310919475276e-05
s1513,2.100359051837586e-05
s167,0.00046685710549354553
s168,0.03187338635325432
s169,0.005509380716830492
s1610,0.7792280316352844
s1611,0.0008481119875796139
s1612,0.000550378579646349
s1613,0.00076812639599666
s178,0.02199055440723896
s179,6.631528231082484e-05
s1710,0.0521320141851902
s1711,1.4003577234689146e-05
s1712,8.56788938108366e-06
s1713,9.481070264882874e-06
s189,0.01371891237795353
s1810,0.1613500565290451
s1811,0.02179802767932415
s1812,0.01621684804558754
s1813,0.013370377011597157
s1910,0.08961166441440582
s1911,5.5062537285266444e-05
s1912,0.00015541352331638336
s1913,9.159900218946859e-05
s11011,0.05485567823052406
s11012,0.04859137162566185
s11013,0.051246896386146545
s11112,6.872051471873419e-06
s11113,6.7796204348269384e-06
s11213,1.9363589672138914e-05
s234,0.47284671664237976
s235,0.2753062844276428
s236,0.5540336966514587
s237,0.17403939366340637
s238,0.15380756556987762
s239,0.15378880500793457
s2310,0.843018651008606
s2311,0.19481000304222107
s2312,0.28547489643096924
s2313,0.2297651320695877
s245,0.0002525250893086195
s246,0.0015427414327859879
s247,0.0015481472946703434
s248,0.012195651419460773
s249,0.0002973511291202158
s2410,0.1441531479358673
s2411,0.00020666755153797567
s2412,0.0001913117739604786
s2413,0.00015208363765850663
s256,0.00032914712210185826
s257,3.611248394008726e-05
s258,0.013402003794908524
s259,0.00010098167695105076
s2510,0.07048971205949783
s2511,0.0001258470438187942
s2512,0.00013764436880592257
s2513,6.344286521198228e-05
s267,0.0002168751962017268
s268,0.02105926349759102
s269,0.0004835514700971544
s2610,0.6505829095840454
s2611,0.0005438640364445746
s2612,0.0003353877109475434
s2613,0.0003023449971806258
s278,0.010283290408551693
s279,6.434445094782859e-05
s2710,0.03591207042336464
s2711,5.121418143971823e-05
s2712,3.5174951335648075e-05
s2713,4.188985985820182e-05
s289,0.007456572260707617
s2810,0.11152365058660507
s2811,0.011909272521734238
s2812,0.00861766654998064
s2813,0.007997243665158749
s2910,0.07419948279857635
s2911,0.00011510644253576174
s2912,0.0001577892544446513
s2913,7.266029570018873e-05
s21011,0.07227925956249237
s21012,0.057579658925533295
s21013,0.05654723942279816
s21112,8.074672950897366e-05
s21113,5.7449604355497286e-05
s21213,8.198273280868307e-05
s345,0.44767943024635315
s346,0.7064083218574524
s347,0.7267082333564758
s348,0.37125054001808167
s349,0.29755058884620667
s3410,0.9323455095291138
s3411,0.4197377860546112
s3412,0.46108177304267883
s3413,0.4267454147338867
s356,0.49979063868522644
s357,0.18271607160568237
s358,0.14410097897052765
s359,0.1348373293876648
s3510,0.7838488817214966
s3511,0.196167454123497
s3512,0.2645207345485687
s3513,0.21998430788516998
s367,0.3375633955001831
s368,0.32457882165908813
s369,0.6195257902145386
s3610,0.9492408037185669
s3611,0.443826287984848
s3612,0.5538302659988403
s3613,0.48217490315437317
s378,0.1970193237066269
s379,0.09869104623794556
s3710,0.7690494060516357
s3711,0.15998031198978424
s3712,0.16021209955215454
s3713,0.17522986233234406
s389,0.09078051149845123
s3810,0.5438396334648132
s3811,0.1557031273841858
s3812,0.15318356454372406
s3813,0.10329463332891464
s3910,0.7938904762268066
s3911,0.11451693624258041
s3912,0.18515855073928833
s3913,0.12442062050104141
s31011,0.7350859045982361
s31012,0.8227441310882568
s31013,0.7538882493972778
s31112,0.19573873281478882
s31113,0.16220104694366455
s31213,0.24068638682365417
s456,0.0001340726448688656
s457,7.03768600942567e-05
s458,0.020062610507011414
s459,1.782761864888016e-05
s4510,0.04575776308774948
s4511,1.2275623703317251e-05
s4512,3.5098414628009778e-06
s4513,4.616109890775988e-06
s467,0.0005228606169112027
s468,0.031670380383729935
s469,0.0009006906184367836
s4610,0.5629335045814514
s4611,0.00011396806803531945
s4612,7.95761079643853e-05
s4613,0.00011493527563288808
s478,0.024662181735038757
s479,0.00017167469195555896
s4710,0.10458528250455856
s4711,7.369242666754872e-05
s4712,4.550413359538652e-05
s4713,8.300186891574413e-05
s489,0.008467397652566433
s4810,0.17676286399364471
s4811,0.016788600012660027
s4812,0.012727138586342335
s4813,0.011883311904966831
s4910,0.07447780668735504
s4911,3.474857294349931e-05
s4912,1.4301860574050806e-05
s4913,1.8471224393579178e-05
s41011,0.04850912466645241
s41012,0.052303049713373184
s41013,0.04458972439169884
s41112,7.663119504286442e-06
s41113,9.903258614940569e-06
s41213,4.2812830542970914e-06
s567,0.00017596995166968554
s568,0.014856208115816116
s569,0.002105899853631854
s5610,0.6441169381141663
s5611,0.0004636213998310268
s5612,0.0003129584074486047
s5613,0.000350035639712587
s578,0.008586034178733826
s579,6.299635424511507e-05
s5710,0.056129518896341324
s5711,4.656997771235183e-05
s5712,2.5622048269724473e-05
s5713,3.0775081540923566e-05
s589,0.0037330808117985725
s5810,0.0721605122089386
s5811,0.007498238235712051
s5812,0.005034227855503559
s5813,0.00506716500967741
s5910,0.10366696119308472
s5911,7.182548870332539e-05
s5912,0.00016223730926867574
s5913,7.747533527435735e-05
