set,value
s,0.5445795655250549
s0,0.5246976613998413
s1,0.5466188788414001
s2,0.5707852840423584
s3,0.7807356119155884
s4,0.5685290694236755
s5,0.5479722619056702
s6,0.5466188788414001
s7,0.5707852840423584
s8,0.7288413047790527
s9,-0.5763693451881409
s10,-0.8025110363960266
s11,0.6662700772285461
s12,0.655787467956543
s13,0.6042177081108093
s01,-0.5458934307098389
s02,0.5241928100585938
s03,-0.535850465297699
s04,-0.5774096846580505
s05,-0.5945399403572083
s06,-0.5458934307098389
s07,0.5241928100585938
s08,0.5101693868637085
s09,-0.5346251726150513
s010,-0.6142637729644775
s011,0.5121123194694519
s012,-0.6736725568771362
s013,0.5588616728782654
s12,0.5892731547355652
s13,0.9016103744506836
s14,0.627285361289978
s15,0.6836957335472107
s16,0.5893236994743347
s17,0.5892731547355652
s18,0.6923143863677979
s19,0.5504453182220459
s110,-0.7698796391487122
s111,0.7044650912284851
s112,-0.6143810749053955
s113,0.7440892457962036
s23,0.6424422264099121
s24,0.542556643486023
s25,-0.5067232251167297
s26,0.5069462060928345
s27,0.5461938977241516
s28,0.6023837327957153
s29,0.6426526308059692
s210,-0.7127431035041809
s211,-0.5470020771026611
s212,-0.5580353736877441
s213,0.6523014307022095
s34,0.9138316512107849
s35,0.7627043724060059
s36,0.9291467070579529
s37,0.6270561814308167
s38,0.912602961063385
s39,0.7704775333404541
s310,-0.7907004952430725
s311,0.7120569348335266
s312,0.8231467604637146
s313,0.9646368026733398
s45,0.557777464389801
s46,0.6218798160552979
s47,0.5053550601005554
s48,0.6748545169830322
s49,0.5122265815734863
s410,-0.9187521934509277
s411,0.6657310724258423
s412,0.560105562210083
s413,0.6689572334289551
s56,0.5989840626716614
s57,-0.5382095575332642
s58,0.751402735710144
s59,-0.6120200157165527
s510,-0.8833855390548706
s511,0.6993421912193298
s512,0.8246909379959106
s513,0.6881819367408752
s67,0.5892731547355652
s68,0.6923143863677979
s69,0.5504453182220459
s610,-0.7698796391487122
s611,0.7044650912284851
s612,-0.6143810749053955
s613,0.7440892457962036
s78,0.6023837327957153
s79,0.6426526308059692
s710,-0.7127431035041809
s711,-0.5470020771026611
s712,-0.5580353736877441
s713,0.6523014307022095
s89,0.6128942370414734
s810,-0.7550489902496338
s811,0.6881328821182251
s812,0.8969424962997437
s813,0.9449511170387268
s910,-0.6379331350326538
s911,-0.5140070915222168
s912,-0.6180932521820068
s913,-0.5396308302879333
s1011,-0.8424661159515381
s1012,-0.8654252290725708
s1013,-0.8833392262458801
s1112,0.80092453956604
s1113,0.9228606820106506
s1213,0.9428016543388367
s012,-0.5646018981933594
s013,-0.6173737645149231
s014,-0.6504284143447876
s015,-0.7160382270812988
s016,-0.5992950797080994
s017,-0.5646018981933594
s018,-0.622077226638794
s019,0.5195567607879639
s0110,-0.7134270668029785
s0111,-0.5477929711341858
s0112,-0.7460740804672241
s0113,-0.5333518981933594
s023,0.7450863718986511
s024,-0.5214573740959167
s025,-0.6109558343887329
s026,-0.5244999527931213
s027,0.5322601795196533
s028,0.6619510054588318
s029,0.5698229074478149
s0210,-0.7399184703826904
s0211,-0.5889134407043457
s0212,-0.5834484100341797
s0213,0.5446758270263672
s034,0.6657962799072266
s035,-0.6567603349685669
s036,0.7051348090171814
s037,0.5123805999755859
s038,0.587433397769928
s039,0.5429837107658386
s0310,-0.7464577555656433
s0311,0.5726889371871948
s0312,0.5082993507385254
s0313,0.7861252427101135
s045,-0.7380854487419128
s046,-0.570622444152832
s047,-0.5526707768440247
s048,-0.5951688289642334
s049,-0.6361393928527832
s0410,-0.8221884369850159
s0411,-0.5165614485740662
s0412,-0.664975106716156
s0413,-0.5111151337623596
s056,-0.5471916794776917
s057,-0.6630313992500305
s058,-0.5815675258636475
s059,-0.6378255486488342
