set,value
s,0
s0,0
s1,0
s2,0
s3,0
s4,0
s5,0
s6,0
s7,0
s8,0
s9,0
s10,0
s11,0
s01,0.9473387961875539
s02,0.6583445441575106
s03,0.562907291846956
s04,0.9508257945180887
s05,1.125814583693911
s06,1.5629072918469555
s07,1.625814583693911
s08,0.792481250360578
s09,1.125814583693911
s010,1.2924812503605776
s011,1.095437252310555
s12,0.979868756651153
s13,0.7806721295208874
s14,0.47986875665115303
s15,0.8844315043405979
s16,0.9881908791603085
s17,0.8215242124936419
s18,0.7806721295208869
s19,0.8215242124936419
s110,1.0510981710072644
s111,0.7502947981375305
s23,0.5545851693378001
s24,0.6908745046211102
s25,0.8879185026711331
s26,0.9287705856438881
s27,0.7621039189772221
s28,0.8879185026711331
s29,0.7621039189772212
s210,0.5954372523105547
s211,0.5871151298013988
s34,0.5545851693377997
s35,0.7924812503605785
s36,0.7295739585136225
s37,0.8333333333333339
s38,1.188721875540867
s39,0.7295739585136225
s310,0.666666666666667
s311,0.36586329379693305
s45,0.8879185026711331
s46,1.062907291846956
s47,0.9287705856438886
s48,1.0545851693377997
s49,1.0629072918469555
s410,0.7621039189772216
s411,0.6279672127741542
s56,0.9591479170272446
s57,1.5629072918469555
s58,1.292481250360578
s59,1.1258145836939115
s510,1.229573958513622
s511,0.9287705856438881
s67,1.229573958513622
s68,0.8962406251802886
s69,1.300803372869734
s610,1.2295739585136216
s611,1.1991966271302656
s78,1.229573958513622
s79,0.9999999999999996
s710,1.3333333333333335
s711,0.8658632937969317
s89,0.896240625180289
s810,1.062907291846955
s811,0.7621039189772212
s910,0.9999999999999991
s911,1.0325299604635987
s1011,0.8658632937969317
s012,2.2723500070117306
s013,2.1769127547011764
s014,2.2723500070117306
s015,2.739820046548131
s016,2.906486713214798
s017,2.8435794213678425
s018,2.5731533798814645
s019,2.5102460880345085
s0110,3.073153379881465
s0111,2.376109381831441
s023,1.7841591278514226
s024,2.046263046828643
s025,2.513733086365044
s026,2.617492461184755
s027,2.617492461184755
s028,2.3470664196983773
s029,2.2841591278514213
s0210,2.617492461184755
s0211,2.150022421648354
s034,1.7841591278514226
s035,2.41829583405449
s036,2.522055208874201
s037,2.688721875540867
s038,2.41829583405449
s039,2.1887218755408675
s0310,2.688721875540867
s0311,2.2212518360044666
s045,2.513733086365044
s046,2.6803997530317107
s047,2.784159127851422
s048,2.3470664196983773
s049,2.6803997530317103
s0410,2.617492461184755
s0411,2.3166890883150204
s056,2.9182958340544887
s057,3.2516291673878226
s058,2.9812031259014447
s059,2.9182958340544887
s0510,3.2516291673878226
s0511,2.7841591278514213
s067,3.2516291673878226
s068,2.751629167387822
s069,2.9182958340544887
s0610,3.2516291673878226
s0611,2.8879185026711327
s078,3.084962500721156
s079,3.0220552088742
s0710,3.355388542207533
s0711,3.054585169337799
s089,2.751629167387822
s0810,3.084962500721156
s0811,2.6174924611847548
s0910,3.0220552088742
s0911,2.5545851693377988
s01011,2.721251836004466
s123,1.876109381831443
s124,2.0344539259889522
s125,2.2723500070117306
s126,2.2723500070117306
s127,2.209442715164775
s128,2.335257298858686
s129,2.1056833403450637
s1210,2.209442715164775
s1211,2.1382133008086632
s134,1.709442715164776
s135,2.01024608803451
s136,2.114005462854221
s137,2.280672129520887
s138,2.1769127547011764
s139,2.114005462854221
s1310,2.280672129520887
s1311,1.64653542331782
s145,2.1056833403450637
s146,2.2723500070117306
s147,2.0427760484981086
s148,2.1056833403450637
s149,2.1056833403450637
s1410,2.209442715164775
s1411,1.9086393422950407
s156,2.5102460880345085
s157,2.676912754701176
s158,2.739820046548131
s159,2.6769127547011755
s1510,2.8435794213678425
s1511,2.376109381831441
s167,2.61400546285422
s168,2.343579421367842
s169,2.5102460880345085
s1610,2.8435794213678425
s1611,2.3132020899844856
s178,2.8435794213678425
s179,2.4473387961875535
s1710,2.947338796187553
s1711,2.313202089984486
s189,2.343579421367842
s1810,2.676912754701176
s1811,2.376109381831441
s1910,2.61400546285422
s1911,2.3132020899844856
s11011,2.313202089984486
s234,1.8795963801619777
s235,2.1174924611847556
s236,1.9508257945180891
s237,2.0545851693377997
s238,2.284159127851423
s239,1.9508257945180891
s2310,1.8879185026711331
s2311,1.5871151298013992
s245,2.109170338675599
s246,2.3166890883150204
s247,1.9833557549816878
s248,2.2129297134953103
s249,2.150022421648354
s2410,1.9833557549816878
s2411,1.9121263406255755
s256,2.513733086365044
s257,2.617492461184755
s258,2.6803997530317107
s259,2.513733086365044
s2510,2.617492461184755
s2511,2.3166890883150204
s267,2.5545851693377997
s268,2.2841591278514213
s269,2.5545851693377988
s2610,2.3879185026711327
s2611,2.316689088315021
s278,2.784159127851422
s279,2.3879185026711327
s2710,2.5545851693378
s2711,2.087115129801399
s289,2.2841591278514213
s2810,2.4508257945180887
s2811,2.150022421648354
s2910,2.3879185026711327
s2911,2.150022421648354
s21011,2.087115129801399
s345,2.1174924611847556
s346,1.9508257945180891
s347,2.0545851693377997
s348,2.513733086365045
s349,1.9508257945180891
s3410,1.8879185026711331
s3411,1.5871151298013992
s356,2.355388542207534
s357,2.855388542207534
s358,2.7516291673878235
s359,2.355388542207534
s3510,2.688721875540867
s3511,2.0545851693378
s367,2.6258145836939115
s368,2.355388542207534
s369,2.355388542207534
s3610,2.4591479170272446
s3611,2.158344544157511
s378,2.688721875540867
s379,2.4591479170272446
s3710,2.9591479170272446
s3711,2.1583445441575106
s389,2.355388542207534
s3810,2.5220552088742005
s3811,2.0545851693378
s3910,2.292481250360578
s3911,1.9916778774908441
s31011,2.1583445441575106
s456,2.513733086365044
s457,2.784159127851422
s458,2.6803997530317107
s459,2.513733086365044
s4510,2.617492461184755
s4511,2.150022421648354
s467,2.5545851693377997
s468,2.450825794518088
s469,2.855388542207533
s4610,2.554585169337799
s4611,2.5871151298013983
s478,2.617492461184755
s479,2.5545851693377997
s4710,2.5545851693378
s4711,2.2537817964680653
s489,2.4508257945180882
s4810,2.617492461184755
s4811,2.150022421648354
s4910,2.554585169337799
s4911,2.4204484631347314
s41011,2.2537817964680653
s567,3.0220552088742
s568,2.9182958340544887
s569,2.9182958340544887
s5610,3.0220552088742
s5611,2.5545851693377988
s578,3.2516291673878226
s579,3.0220552088742
s5710,3.355388542207533
s5711,2.8879185026711327
s589,2.9182958340544887
s5810,3.084962500721156
s5811,2.7841591278514213
s5910,3.0220552088742
s5911,2.5545851693377988
s51011,2.721251836004466
s678,3.0220552088742
s679,2.9591479170272446
s6710,3.1258145836939106
s6711,2.65834454415751
s689,2.855388542207533
s6810,3.0220552088742
s6811,2.5545851693377988
s6910,2.959147917027244
s6911,2.8250112108241763
s61011,2.65834454415751
s789,3.0220552088742
s7810,3.1887218755408666
s7811,2.721251836004466
s7910,2.959147917027244
s7911,2.65834454415751
s71011,2.8250112108241776
s8910,3.0220552088742
s8911,2.5545851693377988
s81011,2.8879185026711327
s91011,2.65834454415751
s0123,3.564831257372308
s0124,3.8269351763495307
s0125,4.294405215885931
s0126,4.231497924038976
s0127,4.231497924038975
s0128,4.127738549219265
s0129,4.064831257372308
s01210,4.398164590705642
s01211,3.9306945511692413
s0134,3.56483125737231
s0135,4.198967963575377
s0136,4.136060671728421
s0137,4.469394005061755
s0138,4.198967963575377
s0139,3.969394005061755
s01310,4.469394005061755
s01311,3.8352572988586875
s0145,4.294405215885931
s0146,4.231497924038976
s0147,4.231497924038975
s0148,4.127738549219265
s0149,4.064831257372308
s01410,4.398164590705642
s01411,3.9306945511692413
s0156,4.698967963575376
s0157,4.8656346302420435
s0158,4.761875255422332
s0159,4.698967963575376
s01510,5.0323012969087095
s01511,4.398164590705642
s0167,4.802727338395087
s0168,4.5323012969087095
s0169,4.469394005061753
s01610,5.0323012969087095
s01611,4.335257298858686
s0178,4.8656346302420435
s0179,4.636060671728421
s01710,5.136060671728419
s01711,4.501923965525354
s0189,4.5323012969087095
s01810,4.8656346302420435
s01811,4.398164590705642
s01910,4.802727338395087
s01911,4.16859063219202
s011011,4.501923965525354
s0234,3.3387442971892227
s0235,3.97288100339229
s0236,3.7433070448786676
s0237,4.076640378212001
s0238,3.97288100339229
s0239,3.7433070448786676
s02310,4.076640378212001
s02311,3.6091703386756
s0245,4.0683182557028434
s0246,4.005410963855889
s0247,4.005410963855888
s0248,3.9016515890361774
s0249,3.8387442971892214
s02410,4.172077630522555
s02411,3.704607590986154
s0256,4.472881003392288
s0257,4.639547670058954
s0258,4.535788295239245
s0259,4.472881003392288
s02510,4.8062143367256205
s02511,4.172077630522555
s0267,4.576640378212
s0268,4.306214336725622
s0269,4.243307044878666
s02610,4.576640378212
s02611,4.109170338675598
s0278,4.639547670058956
s0279,4.409973711545334
s02710,4.743307044878668
s02711,4.275837005342266
s0289,4.306214336725622
s02810,4.639547670058954
s02811,4.172077630522555
s02910,4.576640378212
s02911,3.9425036720089324
s021011,4.275837005342266
s0345,3.97288100339229
s0346,3.7433070448786676
s0347,4.076640378212001
s0348,3.97288100339229
s0349,3.7433070448786676
s03410,4.076640378212001
s03411,3.6091703386756
s0356,4.377443751081735
s0357,4.710777084415069
s0358,4.6070177095953575
