set,value
s,0
s0,0
s1,0
s2,0
s3,0
s4,0
s5,0
s6,0
s7,0
s8,0
s9,0
s10,0
s11,0
s01,3.584962500721156
s02,3.41829583405449
s03,3.584962500721156
s04,3.41829583405449
s05,3.584962500721156
s06,3.41829583405449
s07,3.41829583405449
s08,3.584962500721156
s09,3.251629167387822
s010,3.251629167387822
s011,3.41829583405449
s12,3.41829583405449
s13,3.584962500721156
s14,3.41829583405449
s15,3.584962500721156
s16,3.41829583405449
s17,3.41829583405449
s18,3.584962500721156
s19,3.251629167387822
s110,3.251629167387822
s111,3.41829583405449
s23,3.41829583405449
s24,3.251629167387823
s25,3.41829583405449
s26,3.251629167387823
s27,3.251629167387823
s28,3.41829583405449
s29,3.084962500721156
s210,3.084962500721156
s211,3.251629167387823
s34,3.41829583405449
s35,3.584962500721156
s36,3.41829583405449
s37,3.41829583405449
s38,3.584962500721156
s39,3.251629167387822
s310,3.251629167387822
s311,3.41829583405449
s45,3.41829583405449
s46,3.251629167387823
s47,3.251629167387823
s48,3.41829583405449
s49,3.084962500721156
s410,3.084962500721156
s411,3.251629167387823
s56,3.41829583405449
s57,3.41829583405449
s58,3.584962500721156
s59,3.251629167387822
s510,3.251629167387822
s511,3.41829583405449
s67,3.251629167387823
s68,3.41829583405449
s69,3.084962500721156
s610,3.084962500721156
s611,3.251629167387823
s78,3.41829583405449
s79,3.084962500721156
s710,3.084962500721156
s711,3.251629167387823
s89,3.251629167387822
s810,3.251629167387822
s811,3.41829583405449
s910,2.918295834054489
s911,3.084962500721156
s1011,3.084962500721156
s012,7.003258334775646
s013,7.169925001442312
s014,7.003258334775646
s015,7.169925001442312
s016,7.003258334775646
s017,7.003258334775646
s018,7.169925001442312
s019,6.836591668108978
s0110,6.836591668108978
s0111,7.003258334775646
s023,7.003258334775646
s024,6.83659166810898
s025,7.003258334775646
s026,6.83659166810898
s027,6.83659166810898
s028,7.003258334775646
s029,6.669925001442312
s0210,6.669925001442312
s0211,6.83659166810898
s034,7.003258334775646
s035,7.169925001442312
s036,7.003258334775646
s037,7.003258334775646
s038,7.169925001442312
s039,6.836591668108978
s0310,6.836591668108978
s0311,7.003258334775646
s045,7.003258334775646
s046,6.83659166810898
s047,6.83659166810898
s048,7.003258334775646
s049,6.669925001442312
s0410,6.669925001442312
s0411,6.83659166810898
s056,7.003258334775646
s057,7.003258334775646
s058,7.169925001442312
s059,6.836591668108978
s0510,6.836591668108978
s0511,7.003258334775646
s067,6.83659166810898
s068,7.003258334775646
s069,6.669925001442312
s0610,6.669925001442312
s0611,6.83659166810898
s078,7.003258334775646
s079,6.669925001442312
s0710,6.669925001442312
s0711,6.83659166810898
s089,6.836591668108978
s0810,6.836591668108978
s0811,7.003258334775646
s0910,6.503258334775644
s0911,6.669925001442312
s01011,6.669925001442312
s123,7.003258334775646
s124,6.83659166810898
s125,7.003258334775646
s126,6.83659166810898
s127,6.83659166810898
s128,7.003258334775646
s129,6.669925001442312
s1210,6.669925001442312
s1211,6.83659166810898
s134,7.003258334775646
s135,7.169925001442312
s136,7.003258334775646
s137,7.003258334775646
s138,7.169925001442312
s139,6.836591668108978
s1310,6.836591668108978
s1311,7.003258334775646
s145,7.003258334775646
s146,6.83659166810898
s147,6.83659166810898
s148,7.003258334775646
s149,6.669925001442312
s1410,6.669925001442312
s1411,6.83659166810898
s156,7.003258334775646
s157,7.003258334775646
s158,7.169925001442312
s159,6.836591668108978
s1510,6.836591668108978
s1511,7.003258334775646
s167,6.83659166810898
s168,7.003258334775646
s169,6.669925001442312
s1610,6.669925001442312
s1611,6.83659166810898
s178,7.003258334775646
s179,6.669925001442312
s1710,6.669925001442312
s1711,6.83659166810898
s189,6.836591668108978
s1810,6.836591668108978
s1811,7.003258334775646
s1910,6.503258334775644
s1911,6.669925001442312
s11011,6.669925001442312
s234,6.83659166810898
s235,7.003258334775646
s236,6.83659166810898
s237,6.83659166810898
s238,7.003258334775646
s239,6.669925001442312
s2310,6.669925001442312
s2311,6.83659166810898
s245,6.836591668108978
s246,6.669925001442312
s247,6.669925001442312
s248,6.836591668108978
s249,6.503258334775646
s2410,6.503258334775646
s2411,6.669925001442312
s256,6.83659166810898
s257,6.83659166810898
s258,7.003258334775646
s259,6.669925001442312
s2510,6.669925001442312
s2511,6.83659166810898
s267,6.669925001442312
s268,6.836591668108978
s269,6.503258334775646
s2610,6.503258334775646
s2611,6.669925001442312
s278,6.836591668108978
s279,6.503258334775646
s2710,6.503258334775646
s2711,6.669925001442312
s289,6.669925001442312
s2810,6.669925001442312
s2811,6.83659166810898
s2910,6.336591668108978
s2911,6.503258334775646
s21011,6.503258334775646
s345,7.003258334775646
s346,6.83659166810898
s347,6.83659166810898
s348,7.003258334775646
s349,6.669925001442312
s3410,6.669925001442312
s3411,6.83659166810898
s356,7.003258334775646
s357,7.003258334775646
s358,7.169925001442312
s359,6.836591668108978
s3510,6.836591668108978
s3511,7.003258334775646
s367,6.83659166810898
s368,7.003258334775646
s369,6.669925001442312
s3610,6.669925001442312
s3611,6.83659166810898
s378,7.003258334775646
s379,6.669925001442312
s3710,6.669925001442312
s3711,6.83659166810898
s389,6.836591668108978
s3810,6.836591668108978
s3811,7.003258334775646
s3910,6.503258334775644
s3911,6.669925001442312
s31011,6.669925001442312
s456,6.83659166810898
s457,6.83659166810898
s458,7.003258334775646
s459,6.669925001442312
s4510,6.669925001442312
s4511,6.83659166810898
s467,6.669925001442312
s468,6.836591668108978
s469,6.503258334775646
s4610,6.503258334775646
s4611,6.669925001442312
s478,6.836591668108978
s479,6.503258334775646
s4710,6.503258334775646
s4711,6.669925001442312
s489,6.669925001442312
s4810,6.669925001442312
s4811,6.83659166810898
s4910,6.336591668108978
s4911,6.503258334775646
s41011,6.503258334775646
s567,6.83659166810898
s568,7.003258334775646
s569,6.669925001442312
s5610,6.669925001442312
s5611,6.83659166810898
s578,7.003258334775646
s579,6.669925001442312
s5710,6.669925001442312
s5711,6.83659166810898
s589,6.836591668108978
s5810,6.836591668108978
s5811,7.003258334775646
s5910,6.503258334775644
s5911,6.669925001442312
s51011,6.669925001442312
s678,6.836591668108978
s679,6.503258334775646
s6710,6.503258334775646
s6711,6.669925001442312
s689,6.669925001442312
s6810,6.669925001442312
s6811,6.83659166810898
s6910,6.336591668108978
s6911,6.503258334775646
s61011,6.503258334775646
s789,6.669925001442312
s7810,6.669925001442312
s7811,6.83659166810898
s7910,6.336591668108978
s7911,6.503258334775646
s71011,6.503258334775646
s8910,6.503258334775644
s8911,6.669925001442312
s81011,6.669925001442312
s91011,6.336591668108978
s0123,10.588220835496802
s0124,10.421554168830136
s0125,10.588220835496802
s0126,10.421554168830136
s0127,10.421554168830136
s0128,10.588220835496802
s0129,10.254887502163468
s01210,10.254887502163468
s01211,10.421554168830136
s0134,10.588220835496802
s0135,10.754887502163468
s0136,10.588220835496802
s0137,10.588220835496802
s0138,10.754887502163468
s0139,10.421554168830134
s01310,10.421554168830134
s01311,10.588220835496802
s0145,10.588220835496802
s0146,10.421554168830136
s0147,10.421554168830136
s0148,10.588220835496802
s0149,10.254887502163468
s01410,10.254887502163468
s01411,10.421554168830136
s0156,10.588220835496802
s0157,10.588220835496802
s0158,10.754887502163468
s0159,10.421554168830134
s01510,10.421554168830134
s01511,10.588220835496802
s0167,10.421554168830136
s0168,10.588220835496802
s0169,10.254887502163468
s01610,10.254887502163468
s01611,10.421554168830136
s0178,10.588220835496802
s0179,10.254887502163468
s01710,10.254887502163468
s01711,10.421554168830136
s0189,10.421554168830134
s01810,10.421554168830134
s01811,10.588220835496802
s01910,10.0882208354968
s01911,10.254887502163468
s011011,10.254887502163468
s0234,10.421554168830136
s0235,10.588220835496802
s0236,10.421554168830136
s0237,10.421554168830136
s0238,10.588220835496802
s0239,10.254887502163468
s02310,10.254887502163468
s02311,10.421554168830136
s0245,10.421554168830136
s0246,10.25488750216347
s0247,10.25488750216347
s0248,10.421554168830136
s0249,10.088220835496802
s02410,10.088220835496802
s02411,10.25488750216347
s0256,10.421554168830136
s0257,10.421554168830136
s0258,10.588220835496802
s0259,10.254887502163468
s02510,10.254887502163468
s02511,10.421554168830136
s0267,10.25488750216347
s0268,10.421554168830136
s0269,10.088220835496802
s02610,10.088220835496802
s02611,10.25488750216347
s0278,10.421554168830136
s0279,10.088220835496802
s02710,10.088220835496802
s02711,10.25488750216347
s0289,10.254887502163468
s02810,10.254887502163468
s02811,10.421554168830136
s02910,9.921554168830134
s02911,10.088220835496802
s021011,10.088220835496802
s0345,10.588220835496802
s0346,10.421554168830136
s0347,10.421554168830136
s0348,10.588220835496802
s0349,10.254887502163468
s03410,10.254887502163468
s03411,10.421554168830136
s0356,10.588220835496802
s0357,10.588220835496802
s0358,10.754887502163468
s0359,10.421554168830134
s03510,10.421554168830134
s03511,10.588220835496802
s0367,10.421554168830136
s0368,10.588220835496802
s0369,10.254887502163468
s03610,10.254887502163468
s03611,10.421554168830136
s0378,10.588220835496802
s0379,10.254887502163468
s03710,10.254887502163468
s03711,10.421554168830136
s0389,10.421554168830134
s03810,10.421554168830134
s03811,10.588220835496802
